# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-05 11:28:19
item,id,year,title,AU,SO,DE
19,WOS:000344436500006,2015,Evaluating acceptability of groundwater protection measures under different agricultural policies,"Giordano, Raffaele|D'Agostino, Daniela|Apollonio, Ciro|Scardigno, Alessandra|Pagano, Alessandro|Portoghese, Ivan|Lamaddalena, Nicola|Piccinni, Alberto F.|Vurro, Michele",AGRICULTURAL WATER MANAGEMENT,groundwater protection policy|cap reform|policies interaction|conflict assessment|bayesian belief network
20,WOS:000347776900017,2015,Stochastic Simulation and Management of an Over-Exploited Aquifer Using an Integrated Modeling System,"Sidiropoulos, P.|Mylopoulos, N.|Loukas, A.",WATER RESOURCES MANAGEMENT,overexploited aquifer|uncertainty analysis|stochastic|integrated simulation|restoration|water resources management
21,WOS:000423964400009,2017,"Integrated modelling with environmental parameters for aquatic system assessment: a case study on the Ghare-Bagh drainage, Iran","Sheykhi, Vahideh|Moore, Farid|Kavousi-Fard, Abdollah|Keshavarzi, Behnan|Bikineh, Elham",INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,ghare-bagh drainage|mkhoa|spatial data analysis|swarm intelligence technique|toxic metal
22,WOS:000385595200002,2016,Contributing to the GEO Model Web implementation: A brokering service for business processes,"Santoro, Mattia|Nativi, Stefano|Mazzetti, Paolo",ENVIRONMENTAL MODELLING & SOFTWARE,business process|brokering|interoperability|geoss|model web
23,WOS:000342245600072,2014,Spatial distribution and accumulation of Hg in soil surrounding a Zn/Pb smelter,"Wu, Qingru|Wang, Shuxiao|Wang, Long|Liu, Fang|Lin, Che-Jen|Zhang, Lei|Wang, Fengyang",SCIENCE OF THE TOTAL ENVIRONMENT,hg emission|nonferrous metal smelters|soil contamination|integrated modeling
24,WOS:000393631400013,2017,Design and demonstration of a data model to integrate agent-based and field-based modelling,"de Bakker, Merijn P.|de Jong, Kor|Schmitz, Oliver|Kaissenberg, Derek",ENVIRONMENTAL MODELLING & SOFTWARE,agent-based modelling|field-based modelling|integrated modelling|data model|map algebra|modelling language
25,WOS:000341500600014,2014,Urban water system metabolism assessment using WaterMet(2) model,"Behzadian, K.|Kapelan, Z.|Venkatesh, G.|Brattebo, H.|Saegrov, S.|Rozos, E.|Makropoulos, C.|Ugarelli, R.|Milina, J.|Hem, L.|Brunone, B|Giustolisi, O|Ferrante, M|Laucelli, D|Meniconi, S|Berardi, L|Campisano, A","12TH INTERNATIONAL CONFERENCE ON COMPUTING AND CONTROL FOR THE WATER INDUSTRY, CCWI2013",urban water system|simulation|watermet(2)|performance|criteria|strategy|mcda
26,WOS:000438515500023,2017,Soil variables as auxiliary information in spatial prediction of shallow water table levels for estimating recovered water volume,"Santarosa, Lucas Vituri|Manzione, Rodrigo Lilla",RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,data fusion|groundwater management|geostatistics|bauru aquifer system|groundwater recharge
27,WOS:000394635300039,2017,Future water availability in the largest freshwater Mediterranean lake is at great risk as evidenced from simulations with the SWAT model,"Bucak, Tuba|Trolle, Dennis|Andersen, Hans Estrup|Thodsen, Hans|Erdogan, Seyda|Levi, Eti E.|Filiz, Nur|Jeppesen, Erik|Beklioglu, Meryem",SCIENCE OF THE TOTAL ENVIRONMENT,epsilon-svr|climate change|water level|land use|drying out|outflow
28,WOS:000340483100020,2014,SURVEY ON INTEGRATED MODELLING APPLIED IN ENVIRONMENTAL ENGINEERING AND MANAGEMENT,"Matei, Ion Viorel|Ungureanu, Laura",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,modeling|environmental decision making|optimization|environmental management
29,WOS:000371612600008,2016,"Study of the Climate Change Impacts on Water Quality in the Upstream Portion of the Cau River Basin, Vietnam","Ha Ngoc Hien, |Bui Huy Hoang, |Tran Thi Huong, |Tran Thanh Than, |Pham Thi Thu Ha, |Ta Dang Toan, |Nguyen Minh Son, ",ENVIRONMENTAL MODELING & ASSESSMENT,water quality modeling|climate change scenarios|integrated modeling system|runoff|pollution transport
30,WOS:000350942800014,2015,Global Research Alliance Modelling Platform (GRAMP): An open web platform for modelling greenhouse gas emissions from agro-ecosystems,"Yeluripati, Jagadeesh B.|del Prado, Agustin|Sanz-Cobena, Alberto|Rees, Robert M.|Li, Changsheng|Chadwick, Dave|Tilston, Emma|Topp, Cairistiona F. E.|Cardenas, Laura M.|Ingraham, Pete|Gilhespy, Sarah|Anthony, Steven|Vetter, Sylvia H.|Misselbrook, Tom|Salas, William|Smith, Pete",COMPUTERS AND ELECTRONICS IN AGRICULTURE,biogeochemical modelling|integrated modelling platform|unified modelling approach|climate change|ecosystems|greenhouse gas emissions
31,WOS:000373800600076,2016,Seven Food System Metrics of Sustainable Nutrition Security,"Gustafson, David|Gutman, Alona|Leet, Whitney|Drewnowski, Adam|Fanzo, Jessica|Ingram, John",SUSTAINABILITY,crop modeling|open data|sustainability|resilience|waste and loss|nutrition security|food security|climate change|integrated modeling|food safety|economic modeling
32,WOS:000364313100021,2015,"Towards A New Decision Support System for Design, Management and Operation of Wastewater Treatment Plants for the Reduction of Greenhouse Gases Emission","Caniani, Donatella|Esposito, Giovanni|Gori, Riccardo|Mannina, Giorgio",WATER,decision support system|wastewater treatment plants (wwtps) integrated modeling|greenhouse gas (ghg) emissions
33,WOS:000391414900054,2015,"Nutrient Management in the Lake Tai Basin, China -Application of Source Water Quantity and Quality Model to Dongshan Peninsula","Waters, D. K.|Jiao, F.|Chen, M. D.|Yang, J. D.|Pape, S.|Zhang, H. J.|Li, J.|Nash, D.|Hongqi, S|Xiangxin, L","PROCEEDINGS OF THE 5TH INTERNATIONAL YELLOW RIVER FORUM ON ENSURING WATER RIGHT OF THE RIVER'S DEMAND AND HEALTHY RIVER BASIN MAINTENANCE, VOL IV",water quality|catchment modelling|source
34,WOS:000374868700005,2016,"Role of Environmental Forcings on Fecal Contamination Behavior in a Small Intermittent Coastal Stream: Case Study of the Aljezur Coastal Stream, Portugal","Rodrigues, M.|Guerreiro, M.|David, L. M.|Oliveira, A.|Menaia, J.|Jacob, J.",JOURNAL OF ENVIRONMENTAL ENGINEERING,coastal environment|rivers and streams|bacteria|river flow|tidal currents|waves
35,WOS:000399133902032,2015,INTEGRATED MODELING OF CONFLICT AND ENERGY,"North, Michael J.|Murphy, John T.|Sydelko, Pam|Martinez-Moyano, Ignacio|Sallach, David L.|Macal, Charles M.",2015 WINTER SIMULATION CONFERENCE (WSC),
36,WOS:000394911200044,2017,Effects of initial aquifer conditions on economic benefits from groundwater conservation,"Foster, T.|Brozovic, N.|Butler, A. P.",WATER RESOURCES RESEARCH,groundwater|policy|well yield|economic|agriculture|irrigation
37,WOS:000357813400002,2015,Green Balance Software: An Integrated Model for Screening of CO2-EOR and CCS Projects,"Ghoodjani, E.|Bolouri, S. H.",ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,carbon capture and storage|co2 sequestration|enhanced oil recovery|integrated modeling
38,WOS:000370832200003,2016,Integrated modelling of water supply and water demand using the example of irrigation farming in Saxony,"Wagner, Michael|Seidel, Sabine J.|Werisch, Stefan|Barfus, Klemens|Schuetze, Niels",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,climate change|crop growth modelling|irrigation|regionalisation|stochastic crop water production function
39,WOS:000397300200007,2017,Developing an Integrated Modeling Tool for River Water Quality Index Assessment,"Lai, Y. C.|Chien, C. C.|Yang, Z. H.|Surampalli, Rao Y.|Kao, C. M.",WATER ENVIRONMENT RESEARCH,ammonia|electric conductivity (ec)|river water quality|suspended solid (ss)|water quality index (wqi5)
40,WOS:000366134500001,2015,Valuing water quality tradeoffs at different spatial scales: An integrated approach using bilevel optimization,"Bostian, Moriah|Whittaker, Gerald|Barnhart, Brad|Faere, Rolf|Grosskopf, Shawna",WATER RESOURCES AND ECONOMICS,integrated modeling|nonpoint pollution|bilevel multiobjective optimization|tradeoff analysis|conservation targeting
41,WOS:000408784000031,2017,Reviewing Bayesian Networks potentials for climate change impacts assessment and management: A multi-risk perspective,"Sperotto, Anna|Molina, Jose-Luis|Torresan, Silvia|Critto, Andrea|Marcomini, Antonio",JOURNAL OF ENVIRONMENTAL MANAGEMENT,multiple stressors|climate change|probabilistic risk assessment|uncertainty|integrated modelling
42,WOS:000405592500002,2017,Representing water scarcity in future agricultural assessments,"Winter, Jonathan M.|Lopez, Jose R.|Ruane, Alex C.|Young, Charles A.|Scanlon, Bridget R.|Rosenzweig, Cynthia",ANTHROPOCENE,irrigated agriculture|crop model|hydrologic model|water resources management|climate change
43,WOS:000331463100006,2014,The experience of ISLANDS in deploying system dynamics modeling as an integrated policy tool,"Deenapanray, Prakash N. K.|Bassi, Andrea M.",NATURAL RESOURCES FORUM,system dynamics modeling|integrated policy planning|sustainable development|mauritius strategy|sids
44,WOS:000387449500011,2017,Innovative modeling framework for combined sewer overflows prediction,"Morales, Viviana M.|Mier, Jose M.|Garcia, Marcelo H.",URBAN WATER JOURNAL,cso|hydraulic of sewers|integrated modeling
45,WOS:000365051200011,2015,Retrieval of dust storm aerosols using an integrated Neural Network model,"Xiao, Fei|Wong, Man Sing|Lee, Kwon Ho|Campbell, James R.|Shea, Yu-kai",COMPUTERS & GEOSCIENCES,dust storms|integrated modeling|neural network|reverse absorption|satellite imagery|trajectory model
46,WOS:000365082400002,2015,Life-style services and yield from south-Swedish forests adaptively managed against the risk of wind damage: a simulation study,"Andersson, Mikael|Kellomaki, Seppo|Gardiner, Barry|Blennow, Kristina",REGIONAL ENVIRONMENTAL CHANGE,ecosystem service|cultural service|wind damage|life-style|climate change|forest
47,WOS:000346751700015,2014,A proposal for an integrated modelling framework to characterise habitat pattern,"Estreguil, Christine|de Rigo, Daniele|Caudullo, Giovanni",ENVIRONMENTAL MODELLING & SOFTWARE,spatial pattern|morphology|edge interface|connectivity|habitat reporting|correlation analysis
48,WOS:000337860300015,2014,"Integrated modeling approach for sustainable municipal energy system planning and management - A case study of Shenzhen, China","Zhou, Y.|Li, Y. P.|Huang, G. H.",JOURNAL OF CLEANER PRODUCTION,air pollution control|fuzzy programming|management|municipal energy system|policy analysis|uncertainty
49,WOS:000355026100014,2015,An integrated model-based approach to the risk assessment of pesticide drift from vineyards,"Pivato, Alberto|Barausse, Alberto|Zecchinato, Francesco|Palmeri, Luca|Raga, Roberto|Lavagnolo, Maria Cristina|Cossu, Raffaello",ATMOSPHERIC ENVIRONMENT,pesticide drift|inhalation risk analysis|calpuff|fugacity model
50,WOS:000358301200011,2015,Exploring scale-dependent ecohydrological responses in a large endorheic river basin through integrated surface water-groundwater modeling,"Tian, Yong|Zheng, Yi|Zheng, Chunmiao|Xiao, Honglang|Fan, Wenjie|Zou, Songbing|Wu, Bin|Yao, Yingying|Zhang, Aijing|Liu, Jie",WATER RESOURCES RESEARCH,
51,WOS:000363402800009,2015,"Discharge and water-depth estimates for ungauged rivers: Combining hydrologic, hydraulic, and inverse modeling with stage and water-area measurements from satellites","Liu, Ganming|Schwartz, Franklin W.|Tseng, Kuo-Hsin|Shum, C. K.",WATER RESOURCES RESEARCH,
52,WOS:000357742600009,2015,Quantitative assessment of groundwater controls across major US river basins using a multi-model regression algorithm,"Condon, Laura E.|Hering, Amanda S.|Maxwell, Reed M.",ADVANCES IN WATER RESOURCES,groundwater|integrated modeling|multi-model regression
53,WOS:000393777100028,2017,3D Layer-Integrated Modelling of Morphodynamic Processes Near River Regulated Structures,"Faghihirad, S.|Lin, B.|Falconer, R. A.",WATER RESOURCES MANAGEMENT,morphodynamics|numerical modelling|turbulent flows|regulated reservoirs|three-dimensional flow|physical modelling|laboratory studies
54,WOS:000346388700017,2014,Modelling the urban water cycle as an integrated part of the city: a review,"Urich, Christian|Rauch, Wolfgang",WATER SCIENCE AND TECHNOLOGY,agent-based modelling|decision-support tools|integrated modelling|urban development|urban water management|water infrastructure
55,WOS:000369528900076,2014,Tools for Energy Footprint Assessment in Urban Water Systems,"Baki, S.|Makropoulos, C.|Giustolisi, O|Brunone, B|Laucelli, D|Berardi, L|Campisano, A",16TH WATER DISTRIBUTION SYSTEM ANALYSIS CONFERENCE (WDSA2014): URBAN WATER HYDROINFORMATICS AND STRATEGIC PLANNING,energy footprint|energy recovery|intervention assessment|renewable energy generation|urban water systems|water supply|water-energy nexus
56,WOS:000332356300018,2014,MAS(2): an integrated modeling and simulation-based life cycle evaluation approach for sustainable manufacturing,"Lee, Ju Yeon|Kang, Hyoung Seok|Noh, Sang Do",JOURNAL OF CLEANER PRODUCTION,sustainable manufacturing|manufacturing sustainability|sustainability indicator|life cycle evaluation|modeling|simulation
57,WOS:000416793400102,2017,"Modelling Interactions between Land Use, Climate, and Hydrology along with Stakeholders' Negotiation for Water Resources Management","Farjad, Babak|Pooyandeh, Majeed|Gupta, Anil|Motamedi, Mohammad|Marceau, Danielle",SUSTAINABILITY,river basin management|integrated modelling system|land-use change|climate change|watershed modelling|hydrological modelling|socio-hydrology
58,WOS:000344387800005,2014,An Exploration of Scenarios to Support Sustainable Land Management Using Integrated Environmental Socio-economic Models,"Fleskens, L.|Nainggolan, D.|Stringer, L. C.",ENVIRONMENTAL MANAGEMENT,integrated modeling|scenario analysis|spatial cost benefit analysis|land degradation mitigation|decision-making
59,WOS:000396957400005,2017,Adaptation opportunities and constraints in coupled systems: Evidence from the US energy-water nexus,"Ernst, Kathleen M.|Preston, Benjamin L.",ENVIRONMENTAL SCIENCE & POLICY,climate change|energy|water|adaptation|decision-making|scale
60,WOS:000395001800001,2017,An Earth's Future Special Collection: Impacts of the coastal dynamics of sea level rise on low-gradient coastal landscapes,"Kidwell, David M.|Dietrich, J. Casey|Hagen, Scott C.|Medeiros, Stephen C.",EARTHS FUTURE,sea level rise|wetlands|tidal hydrodynamics|storm surge|gulf of mexico|sedimentation
61,WOS:000357968700058,2014,Marrying Hydrological Modelling and Integrated Assessment for the needs of Water Resource Management,"Croke, B. F. W.|Blakers, R. S.|El Sawah, S.|Fu, B.|Guillaume, J. H. A.|Kelly, R. A.|Patrick, M. J.|Ross, A.|Ticehurst, J.|Barthel, R.|Jakeman, A. J.|Castellarin, A|Ceola, S|Toth, E|Montanari, A","EVOLVING WATER RESOURCES SYSTEMS: UNDERSTANDING, PREDICTING AND MANAGING WATER-SOCIETY INTERACTIONS",integrated assessment|integrated modelling|hydrology|social science|interdisciplinary|water resource management|australia
62,WOS:000349505400017,2015,Ecosystem services and economic development in Austrian agricultural landscapes - The impact of policy and climate change scenarios on trade-offs and synergies,"Kirchner, Mathias|Schmidt, Johannes|Kindermann, Georg|Kulmer, Veronika|Mitter, Herrnine|Prettenthaler, Franz|Ruedisser, Johannes|Schauppenlehner, Thomas|Schoenhart, Martin|Strauss, Franziska|Tappeiner, Ulrike|Tasser, Erich|Schmid, Erwin",ECOLOGICAL ECONOMICS,agricultural ecosystem services|integrated modeling|policy impact analysis|regional climate change|macro-economic indicators|biodiversity and landscape metrics
