# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2018-12-12 14:21:07
item,id,year,title,AU,SO,DE
20,WOS:000414619500061,2017,Failure probability analysis of the urban buried gas pipelines using Bayesian networks,"Wang, Wenhe|Shen, Kuiling|Wang, Beibei|Dong, Chuanfu|Khan, Faisal|Wang, Qingsheng",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,urban buried gas pipeline|failure probability|fault tree|bayesian network|multi-state variables|uncertain causal relationships|sensitivity analysis
21,WOS:000410535400359,2015,The value of stochastic modelling for the characterisation of maturation pond performance and health risk assessment of effluent reuse options,"Kozak, S.|Xie, G.|Leusch, F.|Roiko, A.|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),stochastic modelling|pond effluent reuse|pathogen log reduction values|quantitative microbial risk assessment
22,WOS:000291602100013,2011,Control of modeling error in calibration and validation processes for predictive stochastic models,"Oden, J. Tinsley|Prudhomme, Serge",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,error estimation|adaptive modeling|bayesian approaches|quantities of interest
23,WOS:000290917200167,2010,Modeling of fracture and collapse initiation gradients in presence of mud cake,"Mostafavi, V.|Hareland, G.|Aadnoy, B. S.|Kustamsi, A.|Zhao, J|Labiouse, |Dudt, JP|Mathier, JF",ROCK MECHANICS IN CIVIL AND ENVIRONMENTAL ENGINEERING,
24,WOS:000355365500023,2015,Key issues for the development and application of the species sensitivity distribution (SSD) model for ecological risk assessment,"Xu, Fu-Liu|Li, Yi-Long|Wang, Yin|He, Wei|Kong, Xiang-Zhen|Qin, Ning|Liu, Wen-Xiu|Wu, Wen-Jing|Jorgensen, Sven Erik",ECOLOGICAL INDICATORS,ecological risk assessment|species sensitivity distribution model|species selection|data preprocessing|best fit model|uncertainty analysis
25,WOS:000315044702039,2012,A Multi Criteria Decision Making Approach for Suppliers Selection,"Parthiban, P.|Zubar, H. Abdul|Garge, Chintamani P.|Rajesh, R|Ganesh, K|Koh, SCL",INTERNATIONAL CONFERENCE ON MODELLING OPTIMIZATION AND COMPUTING,supplier selection|supplier ranking|analytical hierarchy process(ahp)
26,WOS:000310819800031,2013,Energy and economic assessment of prune production in Tehran province of Iran,"Tabatabaie, Seyed Mohammad Hossein|Rafiee, Shahin|Keyhani, Alireza|Ebrahimi, Amirhossein",JOURNAL OF CLEANER PRODUCTION,cobb-douglas|economic analysis|energy efficiency|prune|sensitivity analysis
27,WOS:000417604700016,2017,Quantitative Health Risk Assessment of Indoor Radon: A Systematic Review,"Ajrouche, R.|Ielsch, G.|Clero, E.|Roudier, C.|Gay, D.|Guillevic, J.|Laurier, D.|Le Tertre, A.",RADIATION PROTECTION DOSIMETRY,
28,WOS:000394987700013,2017,Evolutionary topology optimization of elastoplastic structures,"Xia, Liang|Fritzen, Felix|Breitkopf, Piotr",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,topology optimization|beso|sensitivity analysis|adjoint method|elastoplasticity
29,WOS:000318441000001,2013,SENSITIVITY ANALYSIS OF COMPOSITE LAMINATED PLATES USING THE MESHLESS IN THE STATE SPACE FRAMEWORK,"Li, D. H.|Qing, G. H.",INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS,sensitivity analysis|meshless method|radial basis functions|hamilton canonical equation|composite laminated plates|static and dynamic problems
30,WOS:000340620400031,2014,"Health risk assessment of odors emitted from urban wastewater pump stations in Tianjin, China","Niu, Zhi-Guang|Xu, Shi-Ying|Gong, Qing-Chao",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,wastewater pumpstation (wwps)|odor|health risk assessment|uncertainty|monte carlo|sensitivity analysis
31,WOS:000396686600009,2016,Bayesian Solution Uncertainty Quantification for Differential Equations,"Cockayne, Jon",BAYESIAN ANALYSIS,
