,AU,SO,copyright,title,year
3228,"Machiwal, D|Jha, MK|Mal, BC",ENVIRONMENTAL MONITORING AND ASSESSMENT,,GIS-based assessment and characterization of groundwater quality in a hard-rock hilly terrain of Western India,2011
3229,"Harvey, RP|Hamby, DM",RADIATION PROTECTION DOSIMETRY,,Uncertainty in particulate deposition for 1 mu m AMAD particles in an adult lung model,2001
3230,"Vanderpool, RW|Peters, TM|Natarajan, S|Tolocka, MP|Gemmill, DB|Wiener, RW",AEROSOL SCIENCE AND TECHNOLOGY,,Sensitivity analysis of the USEPA WINSPM2.5 separator,2001
3231,"Boateng, S",HYDROGEOLOGY JOURNAL,,Evaluation of probabilistic flow in two unsaturated soils,2001
3232,"Mughal, MO|Lynch, M|Yu, F|McGann, B|Jeanneret, F|Sutton, J",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,"Wind modelling, validation and sensitivity study using Weather Research and Forecasting model in complex terrain",2017
3233,"Soria, F|Kazama, S",HYDROLOGICAL PROCESSES," Copyright (C) 2011 John Wiley & Sons, Ltd.",Assessing the investigation of streamflow source areas through uncertainty evaluation of numerical experiments in small catchments,2012
3234,"Xu, C|Gertner, GZ|Scheller, RM",GLOBAL CHANGE BIOLOGY,,Uncertainties in the response of a forest landscape to global climatic change,2009
3235,"Takezawa, A|Nishiwaki, S|Kitamura, M",JOURNAL OF COMPUTATIONAL PHYSICS,,Shape and topology optimization based on the phase field method and sensitivity analysis,2010
3236,"Yang, ZB|Tian, L|Jung, B|Joodaki, S|Fagerlund, F|Pasquali, R|Vernon, R|O'Neill, N|Niemi, A",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Assessing CO2 storage capacity in the Dalders Monocline of the Baltic Sea Basin using dynamic models of varying complexity,2015
3237,"Batou, A|Soize, C",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,UNCERTAINTY QUANTIFICATION IN LOW-FREQUENCY DYNAMICS OF COMPLEX BEAM-LIKE STRUCTURES HAVING A HIGH-MODAL DENSITY,2013
3238,"Yu, PS|Yang, TC|Wang, YC",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE,,Uncertainty analysis of regional flow duration curves,2002
3239,"Shen, ZY|Hong, Q|Yu, H|Niu, JF",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2009 Elsevier B.V. All rights reserved.,Parameter uncertainty analysis of non-point source pollution from different land use types,2010
3240,"Vermeire, T|Jager, T|Janssen, G|Bos, P|Pieters, M",HUMAN AND ECOLOGICAL RISK ASSESSMENT,,A probabilistic human health risk assessment for environmental exposure to dibutylphthalate,2001
3241,"Ammar, A|Huerta, A|Chinesta, F|Cueto, E|Leygue, A",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2013 Elsevier B.V. All rights reserved.,Parametric solutions involving geometry: A step towards efficient shape optimization,2014
3242,"Zhang, WJ|Wei, W",ENVIRONMENTAL MONITORING AND ASSESSMENT,,Spatial succession modeling of biological communities: a multi-model approach,2009
3243,"Yao, T|Hendrickx, JMH",WATER RESOURCES RESEARCH,,Stability analysis of the unsaturated water flow equation 2. Experimental verification,2001
3244,"Li, L|Xu, CY",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,The comparison of sensitivity analysis of hydrological uncertainty estimates by GLUE and Bayesian method under the impact of precipitation errors,2014
3245,"Meresa, HK|Romanowicz, RJ",HYDROLOGY AND EARTH SYSTEM SCIENCES,,The critical role of uncertainty in projections of hydrological extremes,2017
3246,"Ma, QZ|Song, HQ|Chen, GY",MATHEMATICAL PROBLEMS IN ENGINEERING,,Dynamic Optimal Production Strategies Based on the Inventory-Dependent Demand under the Cap-and-Trade Mechanism,2014
3247,"Dostert, P|Efendiev, Y|Mohanty, B",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Efficient uncertainty quantification techniques in inverse problems for Richards' equation using coarse-scale simulation models,2009
3248,"Siade, A|Nishikawa, T|Martin, P",HYDROGEOLOGY JOURNAL,,"Natural recharge estimation and uncertainty analysis of an adjudicated groundwater basin using a regional-scale flow and subsidence model (Antelope Valley, California, USA)",2015
3249,"Tol, RSJ|Yohe, GW",ENERGY POLICY, Elsevier Ltd. All rights reserved.,The Stern Review: A deconstruction,2009
3250,"Wolt, J|Singh, P|Cryer, S|Lin, J",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,Sensitivity analysis for validating expert opinion as to ideal data set criteria for transport modeling,2002
3251,"Gaume, E|Hubert, G|Torterotot, JP",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,,Including uncertainties while estimating damage cost due to flood,2000
3252,"Runge, MC|Converse, SJ|Lyons, JE",BIOLOGICAL CONSERVATION, Published by Elsevier Ltd.,Which uncertainty? Using expert elicitation and expected value of information to design an adaptive program,2011
3253,"Kim, J|Kim, Y|Lee, S|Moon, T|Kim, C",DESALINATION AND WATER TREATMENT,,Dynamic parameter estimation to calibrate the activated sludge model for an enhanced biological phosphate removal process,2009
3254,"Dentz, M",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Concentration statistics for transport in heterogeneous media due to stochastic fluctuations of the center of mass velocity,2012
3255,"Mokhtari, A|Frey, HC",HUMAN AND ECOLOGICAL RISK ASSESSMENT,,Evaluation of sampling-based methods for sensitivity analysis: Case study for the E-Coli food safety process risk model,2006
3256,"Li, P",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Statistical sampling-based parametric analysis of power grids,2006
3257,"McIntyre, N|Ballard, C|Bruen, M|Bulygina, N|Buytaert, W|Cluckie, I|Dunn, S|Ehret, U|Ewen, J|Gelfan, A|Hess, T|Hughes, D|Jackson, B|Kjeldsen, TR|Merz, R|Park, JS|O'Connell, E|O'Donnell, G|Oudin, L|Todini, E|Wagener, T|Wheater, H",HYDROLOGY RESEARCH,,Modelling the hydrological impacts of rural land use change,2014
3258,"Mondal, A|Efendiev, Y|Mallick, B|Datta-Gupta, A",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Bayesian uncertainty quantification for flows in heterogeneous porous media using reversible jump Markov chain Monte Carlo methods,2010
3259,"Bannwarth, MA|Hugenschmidt, C|Sangchan, W|Lamers, M|Ingwersen, J|Ziegler, AD|Streck, T",HYDROLOGICAL PROCESSES," Copyright (c) 2014 John Wiley & Sons, Ltd.","Simulation of stream flow components in a mountainous catchment in northern Thailand with SWAT, using the ANSELM calibration approach",2015
3260,"Wu, SJ|Lien, HC|Chang, CH",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Modeling risk analysis for forecasting peak discharge during flooding prevention and warning operation,2010
3261,"Fan, YR|Huang, WW|Li, YP|Huang, GH|Huang, K",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,A coupled ensemble filtering and probabilistic collocation approach for uncertainty quantification of hydrological models,2015
3262,"Finsterle, S|Zhang, YQ",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Solving iTOUGH2 simulation and optimization problems using the PEST protocol,2011
3263,"Wolf, MM|Zhu, HY|Green, WH|Jackson, GS",APPLIED CATALYSIS A-GENERAL, (C) 2002 Elsevier Science B.V. All rights reserved.,Kinetic model for polycrystalline Pd/PdOx in oxidation/reduction cycles,2003
3264,"Mejia, D|Acosta, DA|Ruiz-Salguero, O",ENGINEERING COMPUTATIONS,,Weighted area/angle distortion minimization for Mesh Parameterization,2017
3265,"Silva, AS|Ghisi, E",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Uncertainty analysis of daily potable water demand on the performance evaluation of rainwater harvesting systems in residential buildings,2016
3266,"Wu, XZ",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Probabilistic solution of floodplain inundation equation,2016
3267,"Page, T|Whyatt, JD|Beven, KJ|Metcalfe, SE",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Uncertainty in modelled estimates of acid deposition across Wales: a GLUE approach,2004
3268,"Laws, RJ|Kesler, DC",BIOLOGICAL CONSERVATION, Elsevier Ltd. All rights reserved.,A Bayesian network approach for selecting translocation sites for endangered island birds,2012
3269,"Quinn, JC|Catton, KB|Johnson, S|Bradley, TH",BIOENERGY RESEARCH,,Geographical Assessment of Microalgae Biofuels Potential Incorporating Resource Availability,2013
3270,"Donde, V|Hiskens, IA",INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,,Shooting methods for locating grazing phenomena in hybrid systems,2006
3271,"Dutta, A|Bain, RL|Biddy, MJ",ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY," (C) 2010 American Institute of Chemical Engineers Environ Prog, 29: 163-174, 2010",Techno-economics of the Production of Mixed Alcohols from Lignocellulosic Biomass via High-Temperature Gasification,2010
3272,"Fong, P|Glynn, PW",ECOLOGICAL APPLICATIONS,,A regional model to predict coral population dynamics in response to El Nino-Southern Oscillation,2000
3273,"Moshfegh, R|Nilsson, L|Larsson, M",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Estimation of process parameter variations in a pre-defined process window using a Latin hypercube method,2008
3274,"Liu, SH|Li, Y|Liao, YL|Guo, ZZ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Structural optimization of the cross-beam of a gantry machine tool based on grey relational analysis,2014
3275,"Williams, M|Schwarz, PA|Law, BE|Irvine, J|Kurpius, MR",GLOBAL CHANGE BIOLOGY,,An improved analysis of forest carbon dynamics using data assimilation,2005
3276,"Grom, M|Stavber, G|Drnovsek, P|Likozar, B",CHEMICAL ENGINEERING JOURNAL, (C) 2015 Elsevier B.V. All rights reserved.,Modelling chemical kinetics of a complex reaction network of active pharmaceutical ingredient (API) synthesis with process optimization for benzazepine heterocyclic compound,2016
3277,"Stevens, G|Van Buren, K|Wheeler, E|Atamturktur, S",ENGINEERING COMPUTATIONS,,Evaluating the fidelity and robustness of calibrated numerical model predictions An application on a wind turbine blade,2015
3278,"Meissner, N",ECOLOGICAL ECONOMICS, (C) 2013 Elsevier B.V. All rights reserved.,The incentives of private companies to invest in protected area certificates: How coalitions can improve ecosystem sustainability,2013
3279,"Super, I|de Arellano, JVG|Krol, MC",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Cumulative ozone effect on canopy stomatal resistance and the impact on boundary layer dynamics and CO2 assimilation at the diurnal scale: A case study for grassland in the Netherlands,2015
3280,"Ghanem, RG|Doostan, A",JOURNAL OF COMPUTATIONAL PHYSICS, (c) 2006 Elsevier Inc. All rights reserved.,On the construction and analysis of stochastic models: Characterization and propagation of the errors associated with limited data,2006
3281,"Attar, A|Raissi, S|Khalili-Damghani, K",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,,"Simulation-optimization approach for a continuous-review, base-stock inventory model with general compound demands, random lead times, and lost sales",2016
3282,"Jia, CR|Yu, XH|Masiak, W",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2011 Elsevier B.V. All rights reserved.,Blood/air distribution of volatile organic compounds (VOCs) in a nationally representative sample,2012
3283,"Arboleda, AM|Crosato, A|Middelkoop, H",HYDROLOGICAL PROCESSES," Copyright (C) 2010 John Wiley & Sons, Ltd.",Reconstructing the early 19th-century Waal River by means of a 2D physics-based numerical model,2010
3284,"Koutsourelakis, PS",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,"Variational Bayesian strategies for high-dimensional, stochastic design problems",2016
3285,"Zhang, W|Li, T|Dai, MH",DESALINATION AND WATER TREATMENT,,Uncertainty assessment of deterministic water quality model for a combined sewer system with the GLUE method,2016
3286,"Mazzilli, N|Guinot, V|Jourde, H",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved,Sensitivity analysis of two-dimensional steady-state aquifer flow equations. Implications for groundwater flow model calibration and validation,2010
3287,"Scarborough, H|Sahin, O|Porter, M|Stewart, R",DESALINATION, Crown Copyright (C) 2014 Published by Elsevier B.V. All rights reserved.,Long-term water supply planning in an Australian coastal city: Dams or desalination?,2015
3288,"Nagle, GN|Fahey, TJ|Ritchie, JC|Woodbury, PB",HYDROLOGICAL PROCESSES," Copyright (c) 2007 John Wiley & Sons, Ltd.",Variations in sediment sources and yields in the Finger Lakes and Catskills regions of New York,2007
3289,"Kriauciuniene, J|Jakimavicius, D|Sarauskiene, D|Kaliatka, T",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Estimation of uncertainty sources in the projections of Lithuanian river runoff,2013
3290,"Ghaffar, EA|Shaban, M",IRRIGATION AND DRAINAGE," Copyright (c) 2013 John Wiley & Sons, Ltd.",INVESTIGATING THE CHALLENGES FACING DRAINAGE WATER REUSE STRATEGY IN EGYPT USING EMPIRICAL MODELLING AND SENSITIVITY ANALYSIS,2014
3291,"Brito, AC|Newton, A|Fernandes, TF|Tett, P",BIOGEOCHEMISTRY,,The role of microphytobenthos on shallow coastal lagoons: a modelling approach,2011
3292,"Becerril-Valle, M|Coz, E|Prevot, ASH|Mocnik, G|Pandis, SN|de la Campa, AMS|Alastuey, A|Diaz, E|Perez, RM|Artinano, B",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Characterization of atmospheric black carbon and co-pollutants in urban and rural areas of Spain,2017
3293,"Aguilar, JG|Magri, L|Juniper, MP",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,Adjoint-based sensitivity analysis of low-order thermoacoustic networks using a wave-based approach,2017
3294,"Rabie, HS|Saunders, IW",JOURNAL OF COMPUTATIONAL BIOLOGY,,A Simulation Study to Assess a Variable Selection Method for Selecting Single Nucleotide Polymorphisms Associated with Disease,2012
3295,"Wang, CX|Li, YP|Zhang, JL|Huang, GH",JOURNAL OF HYDROLOGY," (C) 2015 Elsevier B.V. All rights reserved,",Development of an inexact-variance hydrological modeling system for analyzing interactive effects of multiple uncertain parameters,2015
3296,"Nandy, AK|Jog, CS",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimization of vibrating structures to reduce radiated noise,2012
3297,"Duwig, C|Nogenmyr, KJ|Chan, CK|Dunn, MJ",COMBUSTION THEORY AND MODELLING,,Large Eddy Simulations of a piloted lean premix jet flame using finite-rate chemistry,2011
3298,"Yoon, GH",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2011 Elsevier B.V. All rights reserved.,Topological layout design of electro-fluid-thermal-compliant actuator,2012
3299,"Lakshmi, B|Srinivasan, R",INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,,"Numerical modeling of process parameters on RF metrics in FinFETs, junctionless, and gate-all-around devices",2017
3300,"Ratto, M|Tarantola, S|Saltelli, A",COMPUTER PHYSICS COMMUNICATIONS, (C) 2001 Elsevier Science B.V. All rights reserved.,Sensitivity analysis in model calibration: GSA-GLUE approach,2001
3301,"Tramutoli, V|Cuomo, V|Filizzola, C|Pergola, N|Pietrapertosa, C",REMOTE SENSING OF ENVIRONMENT, (c) 2005 Elsevier Inc. All rights reserved.,"Assessing the potential of thermal infrared satellite surveys for monitoring seismically active areas: The case of Kocaell (Izmit) earthquake, August 17, 1999",2005
3302,"Ozen, HC|Bal, G",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Dynamical Polynomial Chaos Expansions and Long Time Evolution of Differential Equations with Random Forcing,2016
3303,"Gallejones, P|Pardo, G|Aizpurua, A|del Prado, A",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2014 Elsevier B.V. All rights reserved.,Life cycle assessment of first-generation biofuels using a nitrogen crop model,2015
3304,"Pisaroni, M|Nobile, F|Leyland, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,A Continuation Multi Level Monte Carlo (C-MLMC) method for uncertainty quantification in compressible inviscid aerodynamics,2017
3305,"Hajali, M|Alavinasab, A|Shdid, CA",JOURNAL OF PIPELINE SYSTEMS ENGINEERING AND PRACTICE, (C) 2015 American Society of Civil Engineers.,Effect of the Number of Broken Wire Wraps on the Structural Performance of PCCP with Full Interaction at the Gasket Joint,2016
3306,"Gupta, M|Srivastava, PK|Islam, T|Bin Ishak, AM",ENVIRONMENTAL EARTH SCIENCES,,Evaluation of TRMM rainfall for soil moisture prediction in a subtropical climate,2014
3307,"Maiti, S|Tiwari, RK",ENVIRONMENTAL EARTH SCIENCES,,"A comparative study of artificial neural networks, Bayesian neural networks and adaptive neuro-fuzzy inference system in groundwater level prediction",2014
3308,"Ye, M|Wang, LY|Pohlmann, KF|Chapman, JB",GROUNDWATER,,Evaluating Groundwater Interbasin Flow Using Multiple Models and Multiple Types of Data,2016
3309,"MacLellan, JI|Carleton, TJ",ENVIRONMENTAL MONITORING AND ASSESSMENT,,Rational forest productivity decline,2003
3310,"Lee, J|Kitanidis, PK",WATER RESOURCES RESEARCH,,Bayesian inversion with total variation prior for discrete geologic structure identification,2013
3311,"Wu, WY|Simpson, AR|Maier, HR",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE,,Accounting for Greenhouse Gas Emissions in Multiobjective Genetic Algorithm Optimization of Water Distribution Systems,2010
3312,"Chen, ML|Wang, FS",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Elsevier B.V. All rights reserved.,Optimal trade-off design of integrated fermentation processes for ethanol production using genetically engineered yeast,2010
3313,"Liu, J|Williams, JR|Wang, XY|Yang, H",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Using MODAWEC to generate daily weather data for the EPIC model,2009
3314,"Gironas, J|Niemann, JD|Roesner, LA|Rodriguez, F|Andrieu, H",JOURNAL OF HYDROLOGIC ENGINEERING,,Evaluation of Methods for Representing Urban Terrain in Storm-Water Modeling,2010
3315,"Taleizadeh, AA|Lashgari, M|Akram, R|Heydari, J",APPLIED MATHEMATICAL MODELLING, (C) 2016 Elsevier Inc. All rights reserved.,Imperfect economic production quantity model with upstream trade credit periods linked to raw material order quantity and downstream trade credit periods,2016
3316,"Smith, S|Baxter, R|Menges, J|Hromadka, TV|Horton, S",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Real time boundary element node location optimization,2012
3317,"Wu, Y|Shi, XH|Li, CY|Zhao, SN|Pen, F|Green, TR",WATER,,"Simulation of Hydrology and Nutrient Transport in the Hetao Irrigation District, Inner Mongolia, China",2017
3318,"Subramani, HJ|Kurup, AS",CHEMICAL ENGINEERING JOURNAL, (c) 2006 Elsevier B.V. All rights reserved.,Micro-simulated moving bed (mu SMB) systems: A numerical study,2006
3319,"Wen, Z|Huang, GH|Zhan, HB",HYDROGEOLOGY JOURNAL,,Non-Darcian flow to a well in a leaky aquifer using the Forchheimer equation,2011
3320,"Borgonovo, E|Castaings, W|Tarantola, S",RISK ANALYSIS,,Moment Independent Importance Measures: New Results and Analytical Test Cases,2011
3321,"Garcia, X|Pargament, D",RESOURCES CONSERVATION AND RECYCLING, (C) 2015 Elsevier B.V. All rights reserved.,"Reusing wastewater to cope with water scarcity: Economic, social and environmental considerations for decision-making",2015
3322,"Vezzaro, L|Eriksson, E|Ledin, A|Mikkelsen, PS",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2011 Elsevier B.V. All rights reserved.,Modelling the fate of organic micropollutants in stormwater ponds,2011
3323,"Meybodi, MA|Gibson, CA|Behnia, M",INTERNATIONAL JOURNAL OF GLOBAL WARMING,,A methodology and assessment for the viability of trigeneration systems to reduce emissions,2017
3324,"Zhou, XQ|Chen, CR|Wu, HW|Xu, ZH",JOURNAL OF SOILS AND SEDIMENTS,,Dynamics of soil extractable carbon and nitrogen under different cover crop residues,2012
3325,"Mishra, S|Risebro, NH|Schwab, C|Tokareva, S",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Numerical Solution of Scalar Conservation Laws with Random Flux Functions,2016
3326,"Faybishenko, B",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Fuzzy-probabilistic calculations of water-balance uncertainty,2010
3327,"Puri, RS|Morrey, D|Bell, AJ|Durodola, JF|Rudnyi, EB|Korvink, JG",APPLIED MATHEMATICAL MODELLING, (C) 2009 Published by Elsevier Inc.,Reduced order fully coupled structural-acoustic analysis via implicit moment matching,2009
3328,"Chu, Y|Salles, C|Cernesson, F|Perrin, JL|Tournoud, MG",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Nutrient load modelling during floods in intermittent rivers: An operational approach,2008
3329,"Borgonovo, E|Castaings, W|Tarantola, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Model emulation and moment-independent sensitivity analysis: An application to environmental modelling,2012
3330,"Nieto, F|Hernandez, S|Jurado, JA|Mosquera, A",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Analytical approach to sensitivity analysis of flutter speed in bridges considering variable deck mass,2011
3331,"Hawinkel, P|Swinnen, E|Lhermitte, S|Verbist, B|Van Orshoven, J|Muys, B",REMOTE SENSING OF ENVIRONMENT, (C) 2015 Elsevier Inc. All rights reserved.,A time series processing tool to extract climate-driven interannual vegetation dynamics using Ensemble Empirical Mode Decomposition (EEMD),2015
3332,"van Bijnen, M|Korving, H|Clemens, F",WATER SCIENCE AND TECHNOLOGY,,Impact of sewer condition on urban flooding: an uncertainty analysis based on field observations and Monte Carlo simulations on full hydrodynamic models,2012
3333,"Kurec, P|Konak, H",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,A priori sensitivity analysis for densification GPS networks and their capacities of crustal deformation monitoring: a real GPS network application,2014
3334,"Enssle, CP|Croise, J|Puller, A|Mayer, G|Wendling, J",PHYSICS AND CHEMISTRY OF THE EARTH, Elsevier Ltd. All rights reserved.,Full scale 3D-modelling of the coupled gas migration and heat dissipation in a planned repository for radioactive waste in the Callovo-Oxfordian clay,2011
3335,"Schouten, M|Verwaart, T|Heijman, W",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Comparing two sensitivity analysis approaches for two scenarios with a spatially explicit rural agent-based model,2014
3336,"Burg, COE|Newman, JC",COMPUTERS & FLUIDS, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Computationally efficient, numerically exact design space derivatives via the complex Taylor's series expansion method",2003
3337,"Azevedo, IL|Morgan, MG|Palmer, K|Lave, LB",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,"Reducing US Residential Energy Use and CO2 Emissions: How Much, How Soon, and at What Cost?",2013
3338,"Hong, Q|Sun, Z|Chen, L|Liu, R|Shen, Z",INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,,Small-scale watershed extended method for non-point source pollution estimation in part of the Three Gorges Reservoir Region,2012
3339,"Zanfir, M|Gavriilidis, A",CHEMICAL ENGINEERING JOURNAL, (C) 2002 Elsevier Science B.V. All rights reserved.,Parametric sensitivity in catalytic plate reactors with first-order endothermic-exothermic reactions,2002
3340,"Zarghami, M|Ardakanian, R|Memariani, A|Szidarovszky, F",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,,Extended OWA operator for group decision making on water resources projects,2008
3341,"Mahmood, T|Elliott, A",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,Activated sludge process modification for sludge yield reduction using pulp and paper wastewater,2006
3342,"Privileggi, F",COMPUTATIONAL ECONOMICS,,Transition Dynamics in Endogenous Recombinant Growth Models by Means of Projection Methods,2011
3343,"Khan, NM|Babel, MS|Tingsanchali, T|Clemente, RS|Luong, HT",WATER RESOURCES MANAGEMENT,,Reservoir Optimization-Simulation with a Sediment Evacuation Model to Minimize Irrigation Deficits,2012
3344,"Aitken, ML|Loughlin, DH|Dodder, RS|Yelverton, WH",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,,Economic and environmental evaluation of coal-and-biomass-to-liquids-and-electricity plants equipped with carbon capture and storage,2016
3345,"Rizzi, F|Najm, HN|Debusschere, BJ|Sargsyan, K|Salloum, M|Adalsteinsson, H|Knio, OM",MULTISCALE MODELING & SIMULATION,,UNCERTAINTY QUANTIFICATION IN MD SIMULATIONS. PART II: BAYESIAN INFERENCE OF FORCE-FIELD PARAMETERS,2012
3346,"Zheng, Y|Keller, AA",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Stochastic Watershed Water Quality Simulation for TMDL Development - A Case Study in the Newport Bay Watershed,2008
3347,"Lakshmanan, MN|Kapadia, AJ",IEEE TRANSACTIONS ON MEDICAL IMAGING,,"Quantitative Assessment of Lesion Detection Accuracy, Resolution, and Reconstruction Algorithms in Neutron Stimulated Emission Computed Tomography",2012
3348,"Shrestha, S|Manandhar, B",WATER AIR AND SOIL POLLUTION,,"Evaluation of the Root Zone Water Quality Model (RZWQM) Using Field-Measured Data from the Tropical Zone, Thailand",2014
3349,"Brockmann, D|Morgenroth, E",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Evaluating operating conditions for outcompeting nitrite oxidizers and maintaining partial nitrification in biofilm systems using biofilm modeling and Monte Carlo filtering,2010
3350,"Duffuaa, SO|El-Ga'aly, A",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,A multi-objective optimization model for process targeting using sampling plans,2013
3351,"Martinez, JE|Duchon, CE|Crosson, WL",WATER RESOURCES RESEARCH,,Effect of the number of soil layers on a modeled surface water budget,2001
3352,"van Dijk, JWE",RADIATION PROTECTION DOSIMETRY,,Uncertainties in personal dosimetry for external radiation: A Monte Carlo approach,2006
3353,"Babcock, C|Finley, AO|Cook, BD|Weiskittel, A|Woodall, CW",REMOTE SENSING OF ENVIRONMENT, (C) 2016 Elsevier Inc. All rights reserved.,Modeling forest biomass and growth: Coupling long-term inventory and LiDAR data,2016
3354,"Wang, CC|Niu, ZG|Zhang, Y",JOURNAL OF HAZARDOUS MATERIALS,,"Health risk assessment of inhalation exposure of irrigation workers and the public to trihalomethanes from reclaimed water in landscape irrigation in Tianjin, North China",2013
3355,"Renaud, FG|Brown, CD",SCIENCE OF THE TOTAL ENVIRONMENT, (c) 2008 Elsevier B.V. All rights reserved.,Simulating pesticides in ditches to assess ecological risk (SPIDER): II. Benchmarking for the drainage model,2008
3356,"Patel, AD|Serrano-Ruiz, JC|Dumesic, JA|Anex, RP",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Elsevier B.V. All rights reserved.,Techno-economic analysis of 5-nonanone production from levulinic acid,2010
3357,"Casas, WJP|Pavanello, R",APPLIED MATHEMATICAL MODELLING, (C) 2016 Elsevier Inc. All rights reserved.,Optimization of fluid-structure systems by eigenvalues gap separation with sensitivity analysis,2017
3358,"Jelinek, R|Krausmann, E|Gonzalez, M|Alvarez-Gomez, JA|Birkmann, J|Welle, T",NATURAL HAZARDS,,"Approaches for tsunami risk assessment and application to the city of Cadiz, Spain",2012
3359,"Wyatt, A|Alshafey, M",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,,"Non-revenue water: financial model for optimal management in developing countries - application in Aqaba, Jordan",2012
3360,"Putek, P|Paplicki, P|Palka, R",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Topology optimization of rotor poles in a permanent-magnet machine using level set method and continuum design sensitivity analysis,2014
