,AU,SO,copyright,title,year
0,"Sheikholeslami, R|Yassin, F|Lindenschmidt, KE|Razavi, S",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2017 American Society of Civil Engineers.,Improved Understanding of River Ice Processes Using Global Sensitivity Analysis Approaches,2017
1,"Haghnegahdar, A|Razavi, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Insights into sensitivity analysis of Earth and environmental systems models: On the impact of parameter perturbation scale,2017
2,"Razavi, S|Gupta, HV",WATER RESOURCES RESEARCH,,"A new framework for comprehensive, robust, and efficient global sensitivity analysis: 2. Application",2016
3,"Razavi, S|Gupta, HV",WATER RESOURCES RESEARCH,,"A new framework for comprehensive, robust, and efficient global sensitivity analysis: 1. Theory",2016
4,"Yassin, F|Razavi, S|Wheater, H|Sapriza-Azuri, G|Davison, B|Pietroniro, A",HYDROLOGICAL PROCESSES,,Enhanced identification of a hydrologic model using streamflow and satellite water storage data: A multicriteria sensitivity analysis and optimization approach,2017
5,"Haghnegahdar, A|Razavi, S|Yassin, F|Wheater, H",HYDROLOGICAL PROCESSES,,Multicriteria sensitivity analysis as a diagnostic tool for understanding model behaviour and characterizing model uncertainty,2017
