,AU,SO,copyright,title,year
142,"Bogdanor, MJ|Mahadevan, S|Oskay, C",INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,,UNCERTAINTY QUANTIFICATION IN DAMAGE MODELING OF HETEROGENEOUS MATERIALS,2013
143,"Kazanasmaz, T|Gunaydin, M|Binol, S",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Artificial neural networks to predict daylight illuminance in office buildings,2009
144,"Lindenschmidt, KE",WATER,,"RIVICE-A Non-Proprietary, Open-Source, One-Dimensional River-Ice Model",2017
145,"Wegmann, F|Cavin, L|MacLeod, M|Scheringer, M|Hungerbuhler, K",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,The OECD software tool for screening chemicals for persistence and long-range transport potential,2009
146,"Ozkan, A|Gunkaya, Z|Tok, G|Karacasulu, L|Metesoy, M|Banar, M|Kara, A",SUSTAINABILITY,,Life Cycle Assessment and Life Cycle Cost Analysis of Magnesia Spinel Brick Production,2016
147,"Kintsch, W",JOURNAL OF BIOMEDICAL INFORMATICS, (C) 2002 Elsevier Science (USA). All rights reserved.,The potential of latent semantic analysis for machine grading of clinical case summaries,2002
148,"Feng, YL|Brubaker, KL",JOURNAL OF HYDROLOGIC ENGINEERING,,Sensitivity of Flood-Depth Frequency to Watershed-Runoff Change and Sea-Level Rise Using a One-Dimensional Hydraulic Model,2016
149,"Sterba, SK",STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,,Pattern Mixture Models for Quantifying Missing Data Uncertainty in Longitudinal Invariance Testing,2017
150,"Nguyen, TT|Willems, P",WATER RESOURCES MANAGEMENT,,The Influence of Model Structure Uncertainty on Water Quality Assessment,2016
151,"Small, MJ",RISK ANALYSIS,,Methods for assessing uncertainty in fundamental assumptions and associated models for cancer risk assessment,2008
152,"Munz, M|Schmidt, C",HYDROLOGICAL PROCESSES,,Estimation of vertical water fluxes from temperature time series by the inverse numerical computer program FLUX-BOT,2017
153,"Figueiredo, A|Figueira, J|Vicente, R|Maio, R",BUILDING AND ENVIRONMENT, (c) 2016 Elsevier Ltd.,Thermal comfort and energy performance: Sensitivity analysis to apply the Passive House concept to the Portuguese climate,2016
154,"Borge, R|de Miguel, I|de la Paz, D|Lumbreras, J|Perez, J|Rodriguez, E",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Comparison of road traffic emission models in Madrid (Spain),2012
155,"Cheng, LY|AghaKouchak, A|Gilleland, E|Katz, RW",CLIMATIC CHANGE,,Non-stationary extreme value analysis in a changing climate,2014
156,"Novak, D|Vorechovsky, M|Teply, B",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,2014
157,"Carvalho, A|Gani, R|Matos, H",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V. All rights reserved.,Design of sustainable chemical processes: Systematic retrofit analysis generation and evaluation of alternatives,2008
158,"Akbari, J|Ahmadi, MT|Moharrami, H",APPLIED MATHEMATICAL MODELLING, (C) 2011 Elsevier Inc. All rights reserved.,Advances in concrete arch dams shape optimization,2011
159,"Oliveri, AC|Goicoechea, HC|Inon, FA",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2004 Elsevier B.V. All rights reserved.,MVC1: an integrated MatLab toolbox for first-order multivariate calibration,2004
160,"Ashofteh, PS|Bozorg-Haddad, O|Marino, MA",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2014 American Society of Civil Engineers.,Risk Analysis of Water Demand for Agricultural Crops under Climate Change,2015
161,"Simunek, J|He, CM|Pang, LP|Bradford, SA",VADOSE ZONE JOURNAL,,Colloid-facilitated solute transport in variably saturated porous media: Numerical model and experimental verification,2006
162,"Ghysels, A|Verstraelen, T|Hemelsoet, K|Waroquier, M|Van Speybroeck, V",JOURNAL OF CHEMICAL INFORMATION AND MODELING,,TAMkin: A Versatile Package for Vibrational Analysis and Chemical Kinetics,2010
163,"Geza, M|Poeter, EP|McCray, JE",JOURNAL OF HYDROLOGY, (C) 2009 Elsevier B.V. All rights reserved.,Quantifying predictive uncertainty for a mountain-watershed model,2009
164,"Sattar, AMA",JOURNAL OF HYDRAULIC RESEARCH,,A probabilistic projection of the transient flow equations with random system parameters and internal boundary conditions,2016
165,"Campisano, A|Catania, FV|Modica, C",URBAN WATER JOURNAL,,Evaluating the SWMM LID Editor rain barrel option for the estimation of retention potential of rainwater harvesting systems,2017
166,"Ardejani, FD|Badii, K|Farhadi, F|Saberi, MA|Shokri, BJ",ENVIRONMENTAL MODELING & ASSESSMENT,,A Computational Fluid Dynamic Model for Prediction of Organic Dyes Adsorption from Aqueous Solutions,2012
167,"Lin, ZL|Radcliffe, DE",VADOSE ZONE JOURNAL,,Automatic calibration and predictive uncertainty analysis of a semidistributed watershed model,2006
168,"Li, XA|Xie, M|Ng, SH",APPLIED MATHEMATICAL MODELLING, (c) 2010 Elsevier Inc. All rights reserved.,Sensitivity analysis of release time of software reliability models incorporating testing effort with multiple change-points,2010
169,"Karmakar, S|NKetia, M|Lague, C|Agnew, J",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (C) 2010 Elsevier B.V. All rights reserved.,Development of expert system modeling based decision support system for swine manure management,2010
170,"Wi, S|Ray, P|Demaria, EMC|Steinschneider, S|Brown, C",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A user-friendly software package for VIC hydrologic model development,2017
171,"Salinger, AG|Bartlett, RA|Bradley, AM|Chen, QS|Demeshko, IP|Gao, XJ|Hansen, GA|Mota, A|Muller, RP|Nielsen, E|Ostien, JT|Pawlowski, RP|Perego, M|Phipps, ET|Sun, WC|Tezaur, IK",INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,,"ALBANY: USING COMPONENT-BASED DESIGN TO DEVELOP A FLEXIBLE, GENERIC MULTIPHYSICS ANALYSIS CODE",2016
172,"Huttary, R|Goubergrits, L|Schutte, C|Bernhard, S",COMPUTERS IN BIOLOGY AND MEDICINE,,"Simulation, identification and statistical variation in cardiovascular analysis (SISCA) - A software framework for multi-compartment lumped modeling",2017
173,"Kumar, D|Pandey, A|Sharma, N|Flugel, WA",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2015 American Society of Civil Engineers.,Evaluation of TRMM-Precipitation with Rain-Gauge Observation Using Hydrological Model J2000,2017
174,"van Griensven, A|Popescu, L|Abdelhamid, MR|Ndomba, PM|Beevers, L|Betrie, GD",PHYSICS AND CHEMISTRY OF THE EARTH, Elsevier Ltd. All rights reserved.,Comparison of sediment transport computations using hydrodynamic versus hydrologic models in the Simiyu River in Tanzania,2013
175,"Rahmani, N|Nikbakhtan, B|Ahangari, K|Apel, D",INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,,Comparison of empirical and numerical methods in tunnel stability analysis,2012
176,"Al Ananzeh, N|Bergendahl, JA|Thompson, RW",ENVIRONMENTAL CHEMISTRY,,Kinetic model for the degradation of MTBE by Fenton's oxidation,2006
177,"Xiao, LS|Wang, R|Chiang, PC|Pan, SY|Guo, QH|Chang, EE",AEROSOL AND AIR QUALITY RESEARCH,,Comparative Life Cycle Assessment (LCA) of Accelerated Carbonation Processes Using Steelmaking Slag for CO2 Fixation,2014
178,"Giupponi, C|Mysiak, J|Fassio, A|Cogan, V",MATHEMATICS AND COMPUTERS IN SIMULATION, (C) 2003 Published by Elsevier B.V on behalf of IMACS.,MULINO-DSS: a computer tool for sustainable use of water resources at the catchment scale,2004
179,"Wang, C|Duan, QY|Tong, CH|Di, ZH|Gong, W",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,A GUI platform for uncertainty quantification of complex dynamical models,2016
180,"Srinivas, R|Singh, AP|Sharma, R",WATER RESOURCES MANAGEMENT,,A Scenario Based Impact Assessment of Trace Metals on Ecosystem of River Ganges Using Multivariate Analysis Coupled with Fuzzy Decision-Making Approach,2017
181,"Sohrabi, TM|Shirmohammadi, A|Chu, TW|Montas, H|Nejadhashemi, AP",ENVIRONMENTAL FORENSICS,,Uncertainty analysis of hydrologic and water quality predictions for a small watershed using SWAT2000,2003
182,"Dixon, B",JOURNAL OF HYDROLOGY, (c) 2004 Elsevier B.V. All rights reserved.,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis,2005
183,"Pistikopoulos, EN|Diangelakis, NA",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,"Towards the integration of process design, control and scheduling: Are we getting closer?",2016
184,"Xie, XF|Giammar, DE|Wang, ZM",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,MINFIT: A Spreadsheet-Based Tool for Parameter Estimation in an Equilibrium Speciation Software Program,2016
185,"Mohammadi, A|Abbasi, A|Alimohammadlou, M|Eghtesadifard, M|Khalifeh, M",COMPUTERS & INDUSTRIAL ENGINEERING,,Optimal design of a multi-echelon supply chain in a system thinking framework: An integrated financial-operational approach,2017
186,"Cucurachi, S|Heijungs, R",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Characterisation factors for life cycle impact assessment of sound emissions,2014
187,"Annadurai, K|Uthayakumar, R",APPLIED MATHEMATICAL MODELLING, (C) 2010 Elsevier Inc. All rights reserved.,"Reducing lost-sales rate in (T,R,L) inventory model with controllable lead time",2010
188,"Papoutsis-Kiachagias, EM|Papadimitriou, DI|Giannakoglou, KC",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2011 John Wiley & Sons, Ltd.",Robust design in aerodynamics using third-order sensitivity analysis based on discrete adjoint. Application to quasi-1D flows,2012
189,"Aksezer, CS",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,,ON THE SENSITIVITY OF DESIRABILITY FUNCTIONS FOR MULTIRESPONSE OPTIMIZATION,2008
190,"Mallants, D|Simunek, J|van Genuchten, MT|Jacques, D",WATER,,Simulating the Fate and Transport of Coal Seam Gas Chemicals in Variably-Saturated Soils Using HYDRUS,2017
191,"Dennis, I|Pretorius, J|Steyl, G",ENVIRONMENTAL EARTH SCIENCES,,Effect of fracture zone on DNAPL transport and dispersion: a numerical approach,2010
192,"Banar, M|Cokaygil, Z",ENVIRONMENTAL ENGINEERING SCIENCE,,A comparative life cycle analysis of two different juice packages,2008
193,"Feng, SQ",MATHEMATICAL PROBLEMS IN ENGINEERING,,Numerical Study of the Performance and Emission of a Diesel-Syngas Dual Fuel Engine,2017
194,"Stangl, D|Huerta, G",LIFETIME DATA ANALYSIS,,Assessing the impact of managed-care on the distribution of length-of-stay using Bayesian hierarchical models,2000
195,"Bakhtiari, AA|Hematian, A|Sharifi, A",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,Energy analyses and greenhouse gas emissions assessment for saffron production cycle,2015
196,"Huang, X|Xie, YM|Jia, B|Li, Q|Zhou, SW",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Evolutionary topology optimization of periodic composites for extremal magnetic permeability and electrical permittivity,2012
197,"Abed-Elmdoust, A|Kerachian, R",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,,ASSESSMENT OF INDUSTRIAL SOLID WASTE USING THE INTELLIGENT DECISION SYSTEM (IDS) METHOD,2016
198,"Cai, BP|Liu, YH|Liu, ZK|Tian, XJ|Zhang, YZ|Ji, RJ",RISK ANALYSIS,,Application of Bayesian Networks in Quantitative Risk Assessment of Subsea Blowout Preventer Operations,2013
199,"Silva, CAC|Bittencourt, ML",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An object-oriented structural optimization program,2000
200,"Schmidt, J|Hennrich, K|Dikau, R",HYDROLOGICAL PROCESSES," Copyright (C) 2000 John Wiley & Sons, Ltd.",Scales and similarities in runoff processes with respect to geomorphometry,2000
201,"Brown, JD|Heuvelink, GBM",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,The Data Uncertainty Engine (DUE): A software tool for assessing and simulating uncertain environmental variables,2007
202,"Rizzo, DM|Mouser, PJ|Whitney, DH|Mark, CD|Magarey, RD|Voinov, AA",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,The comparison of four dynamic systems-based software packages: Translation and sensitivity analysis,2006
203,"Hunt, M|Haley, B|McLennan, M|Koslowski, M|Murthy, J|Strachan, A",COMPUTER PHYSICS COMMUNICATIONS, (C) 2015 Elsevier B.V. All rights reserved.,PUQ; A code for non-intrusive uncertainty propagation in computer simulations,2015
204,"Xu, XG|Xu, LF|Yan, L|Ma, LY|Lu, YL",ENVIRONMENTAL EARTH SCIENCES,,Integrated regional ecological risk assessment of multi-ecosystems under multi-disasters: a case study of China,2015
205,"Petropoulos, GP|Anagnostopoulos, V",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,SEVIRI PrePro: A novel software tool for the pre-processing of SEVIRI geostationary orbit EO data products,2016
206,"Jin, XL|Liu, SY|Baret, F|Hemerle, M|Comar, A",REMOTE SENSING OF ENVIRONMENT, (C) 2017 Elsevier Inc. All rights reserved.,Estimates of plant density of wheat crops at emergence from very low altitude UAV imagery,2017
207,"Moriasi, DN|King, KW|Bosch, DD|Bjorneberg, DL|Teet, S|Guzman, JA|Williams, MR",AGRICULTURAL WATER MANAGEMENT, Published by Elsevier B.V.,Framework to parameterize and validate APEX to support deployment of the nutrient tracking tool,2016
208,"Tan, ECD|Marker, TL|Roberts, MJ",ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY," (c) 2013 American Institute of Chemical Engineers Environ Prog, 33: 609-617, 2014",Direct Production of Gasoline and Diesel Fuels from Biomass via Integrated Hydropyrolysis and Hydroconversion Process-A Techno- economic Analysis,2014
209,"Shaaban, S|Yahya, H",DESALINATION,,Detailed analysis of reverse osmosis systems in hot climate conditions,2017
210,"Cheah, KW|Yusup, S|Singh, HKG|Uemura, Y|Lam, HL",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Process simulation and techno economic analysis of renewable diesel production via catalytic decarboxylation of rubber seed oil - A case study in Malaysia,2017
211,"Rafe, V|Moradi, M|Yousefian, R|Nikanjam, A",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,A meta-heuristic solution for automated refutation of complex software systems specified through graph transformations,2015
212,"Al-Fulaij, H|Cipollina, A|Micale, G|Ettouney, H|Bogle, D",ENGINEERING COMPUTATIONS,,Eulerian-Eulerian modelling and computational fluid dynamics simulation of wire mesh demisters in MSF plants,2014
213,"Souhar, O|Faure, JB",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2010 John Wiley & Sons, Ltd.",Automatic differentiation strategy for the local sensitivity analysis of a one-dimensional hydraulic model,2011
214,"Kalampalikas, NG|Pilavachi, PA",ENERGY POLICY, Elsevier Ltd. All rights reserved.,"A model for the development of a power production system in Greece, Part I: Where RES do not meet EU targets",2010
215,"Fallahzadeh, RA|Ghaneian, MT|Miri, M|Dashti, MM",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,Spatial analysis and health risk assessment of heavy metals concentration in drinking water resources,2017
216,"Rodriguez, JP|Achleitner, S|Moderl, M|Rauch, W|Maksimovic, C|McIntyre, N|Diaz-Granados, MA|Rodriguez, MS",WATER SCIENCE AND TECHNOLOGY,,Sediment and pollutant load modelling using an integrated urban drainage modelling toolbox: an application of City Drain,2010
217,"Li, H|Parent, LE|Karam, A",AGRICULTURE ECOSYSTEMS & ENVIRONMENT, (c) 2006 Elsevier B.V. All rights reserved.,Simulation modeling of soil and plant nitrogen use in a potato cropping system in the humid and cool environment,2006
218,"Howell, CJ|Crohn, DM|Omary, M",ECOLOGICAL ENGINEERING, (C) 2005 Elsevier B.V. All rights reserved.,Simulating nutrient cycling and removal through treatment wetlands in arid/semiarid environments,2005
219,"Belyaev, M|Burnaev, E|Kapushev, E|Panov, M|Prikhodko, P|Vetrov, D|Yarotsky, D",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,GTApprox: Surrogate modeling for industrial design,2016
220,"Parker, J|Kim, U|Kitanidis, P|Cardiff, M|Liu, XY|Beyke, G",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Stochastic cost optimization of DNAPL remediation - Method description and sensitivity study,2012
221,"Siade, AJ|Hall, J|Karelse, RN",WATER RESOURCES RESEARCH,,"A Practical, Robust Methodology for Acquiring New Observation Data Using Computationally Expensive Groundwater Models",2017
222,"Sun, F|Shao, HB|Kalbacher, T|Wang, WQ|Yang, ZS|Huang, ZF|Kolditz, O",ENVIRONMENTAL EARTH SCIENCES,,Groundwater drawdown at Nankou site of Beijing Plain: model development and calibration,2011
223,"Reichert, P",WATER SCIENCE AND TECHNOLOGY,,A standard interface between simulation programs and systems analysis software,2006
224,"Weerts, AH|El Serafy, GY|Hummel, S|Dhondia, J|Gerritsen, H",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Application of generic data assimilation tools (DATools) for flood forecasting purposes,2010
225,"Sinha, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety,2007
226,"Jou, CC",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,The decision model of task allocation for constrained stochastic distributed systems,2010
227,"Ayav, T|Sozer, H",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Identifying critical architectural components with spectral analysis of fault trees,2016
228,"Tarefder, RA|Sumee, N|Storlie, C",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,Study of MEPDG Sensitivity Using Nonparametric Regression Procedures,2014
229,"Samso, R|Blazquez, J|Agullo, N|Grau, J|Torres, R|Garcia, J",ECOLOGICAL ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Effect of bacteria density and accumulated inert solids on the effluent pollutant concentrations predicted by the constructed wetlands model BIO_PORE,2015
230,"Duan, HB|Eugster, M|Hischier, R|Streicher-Porte, M|Li, JH",SCIENCE OF THE TOTAL ENVIRONMENT, Crown Copyright (C) 2008 Published by Elsevier B.V. All rights reserved.,Life cycle assessment study of a Chinese desktop personal computer,2009
231,"Alzbutas, R|Iesmantas, T|Povilaitis, M|Vitkute, J",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Risk and uncertainty analysis of gas pipeline failure and gas combustion consequence,2014
232,"Thomas, E|Lucia, A",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Multi-scale equation of state computations for confined fluids,2017
233,"Peh, KSH|Thapa, I|Basnyat, M|Balmford, A|Bhattarai, GP|Bradbury, RB|Brown, C|Butchart, SHM|Dhakal, M|Gurung, H|Hughes, FMR|Mulligan, M|Pandeya, B|Stattersfield, AJ|Thomas, DHL|Walpole, M|Merriman, JC",ECOSYSTEM SERVICES, (C) 2016 Elsevier B.V. All rights reserved.,"Synergies between biodiversity conservation and ecosystem service provision: Lessons on integrated ecosystem service valuation from a Himalayan protected area, Nepal",2016
234,"Sheehan, C|Harrington, J",RESOURCES CONSERVATION AND RECYCLING, (C) 2012 Elsevier B.V. All rights reserved.,An environmental and economic analysis for geotube coastal structures retaining dredge material,2012
235,"Gallagher, M|Doherty, J",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Parameter estimation and uncertainty analysis for a watershed model,2007
236,"de Lary, L|Loschetter, A|Bouc, O|Rohmer, J|Oldenburg, CM",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Assessing health impacts of CO2 leakage from a geological storage site into buildings: Role of attenuation in the unsaturated zone and building foundation,2012
237,"Trigg, MA|Cook, PG|Brunner, P",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances,2014
238,"Meeks, J|Moeck, C|Brunner, P|Hunkeler, D",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,Infiltration under snow cover: Modeling approaches and predictive uncertainty,2017
239,"Verdu, F|Villacampa, Y",ADVANCES IN ENGINEERING SOFTWARE, (C) 2002 Elsevier Science Ltd. All rights reserved.,A computer program for a Monte Carlo analysis of sensitivity in equations of environmental modelling obtained from experimental data,2002
240,"Futter, MN|Erlandsson, MA|Butterfield, D|Whitehead, PG|Oni, SK|Wade, AJ",HYDROLOGY AND EARTH SYSTEM SCIENCES,,PERSiST: a flexible rainfall-runoff modelling toolkit for use with the INCA family of models,2014
241,"Merritt, WS|Croke, BFW|Jakeman, AJ",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Sensitivity testing of a model for exploring water resources utilisation and management options,2005
242,"Oliveira, AD|Oliveira, C",RADIATION PROTECTION DOSIMETRY,,Comparison of deterministic and Monte Carlo methods in shielding design,2005
243,"Yang, ZJ|Chen, X|Kelly, R",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",A topological optimization approach for structural design of a high-speed low-load mechanism using the equivalent static loads method,2012
244,"Khan, S|Mushtaq, S|Chen, C",IRRIGATION AND DRAINAGE," Copyright (C) 2009 John Wiley & Sons, Ltd.",A DECISION SUPPORT TOOL FOR IRRIGATION INFRASTRUCTURE INVESTMENTS,2010
245,"Buchner, JS|Simunek, J|Lee, J|Rolston, DE|Hopmans, JW|King, AP|Six, J",JOURNAL OF HYDROLOGY, (C) 2008 Elsevier B.V. All rights reserved.,Evaluation of CO2 fluxes from an agricultural field using a process-based numerical model,2008
246,"Chang, CL|Lo, SL|Yu, SL",ENVIRONMENTAL MONITORING AND ASSESSMENT,,Role of geographic information system (GIS) in watershed simulation by WinVAST model,2006
247,"Hauseux, P|Hale, JS|Bordas, SPA",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Published by Elsevier B.V.,Accelerating Monte Carlo estimation with derivatives of high-level finite element models,2017
248,"Kavvadias, KC|Khamis, I",DESALINATION, (C) 2010 Elsevier B.V. All rights reserved.,The IAEA DEEP desalination economic model: A critical review,2010
249,"Lunday, BJ|Sherali, HD|Glickman, TS",INFORMS JOURNAL ON COMPUTING,,The Nested Event Tree Model with Application to Combating Terrorism,2010
250,"Lu, HY|Axe, L|Tyson, TA",ENVIRONMENTAL MODELING & ASSESSMENT,,Development and application of computer simulation tools for ecological risk assessment,2003
251,"Khayami, MT|Shayanfar, H|Kazemi, A",INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS," Copyright (c) 2014 John Wiley & Sons, Ltd.",Stability analysis of rotary power flow controller,2015
252,"Formetta, G|Capparelli, G|David, O|Green, TR|Rigon, R",WATER,,Integration of a Three-Dimensional Process-Based Hydrological Model into the Object Modeling System,2016
253,"Blozis, SA|Ge, XJ|Xu, S|Natsuaki, MN|Shaw, DS|Neiderhiser, JM|Scaramella, LV|Leve, LD|Reiss, D",STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,,Sensitivity Analysis of Multiple Informant Models When Data Are Not Missing at Random,2013
254,"Jha, MK|Nanda, G|Samuel, MP",WATER RESOURCES MANAGEMENT,,Determining hydraulic characteristics of production wells using genetic algorithm,2004
255,"Yu, VF|Normasari, NME|Luong, HT",MATHEMATICAL PROBLEMS IN ENGINEERING,,Integrated Location-Production-Distribution Planning in a Multiproducts Supply Chain Network Design Model,2015
256,"Ouyang, XG|Guo, F|Shan, D|Yu, HY|Wang, J",ECOLOGICAL ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Development of the integrated fuzzy analytical hierarchy process with multidimensional scaling in selection of natural wastewater treatment alternatives,2015
257,"Wintle, BA|Bekessy, SA|Venier, LA|Pearce, JL|Chisholm, RA",CONSERVATION BIOLOGY,,Utility of dynamic-landscape metapopulation models for sustainable forest management,2005
258,"Caldwell, A|Kollar, D|Kroninger, K",COMPUTER PHYSICS COMMUNICATIONS, (C) 2009 Elsevier B.V. All rights reserved.,BAT - The Bayesian analysis toolkit,2009
259,"Barrio, R|Parrondo, J|Blanco, E",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,Numerical analysis of the unsteady flow in the near-tongue region in a volute-type centrifugal pump for different operating points,2010
260,"Binamer, A",DESALINATION AND WATER TREATMENT,,Second law and sensitivity analysis of large ME-TVC desalination units,2015
261,"Daescu, DN|Sandu, A|Carmichael, GR",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Direct and adjoint sensitivity analysis of chemical kinetic systems with KPP: II - Numerical validation and applications,2003
262,"Umesha, PK|Venuraju, MT|Hartmann, D|Leimbach, KR",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,Parallel computing techniques for sensitivity analysis in optimum structural design,2007
263,"Ghosh, S|Pratihar, DK|Maiti, B|Das, PK",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2009 John Wiley & Sons, Ltd.",An evolutionary optimization of diffuser shapes based on CFD simulations,2010
264,"Xie, H",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2010 Elsevier B.V. All rights reserved.,Analyzing longitudinal clinical trial data with nonignorable missingness and unknown missingness reasons,2012
265,"West, SG",MULTIVARIATE BEHAVIORAL RESEARCH,,Analyzing Complex Treatment Effects in Nonrandomized Observational Studies: The Case of Retention of Students in Grade,2016
266,"Mala-Jetmarova, H|Barton, A|Bagirov, A",JOURNAL OF HYDROINFORMATICS,,Sensitivity of algorithm parameters and objective function scaling in multi-objective optimisation of water distribution systems,2015
267,"Goor, F|Jossart, JM|Ledent, JF",ENVIRONMENTAL MODELLING & SOFTWARE, (C) 2000 Elsevier Science Ltd. All rights reserved.,ECOP: an economic model to assess the willow short rotation coppice global profitability in a case of small scale gasification pathway in Belgium,2000
268,"Sander, P|Oberg, T",JOURNAL OF SOILS AND SEDIMENTS,,Comparing deterministic and probabilistic risk assessments - A case study at a closed steel mill in southern Sweden,2006
269,"Wang, LY|Ye, M|Rios, JF|Fernandes, R|Lee, PZ|Hicks, RW",ENVIRONMENTAL EARTH SCIENCES,,Estimation of nitrate load from septic systems to surface water bodies using an ArcGIS-based software,2013
270,"Sahinoglu, M|Simmons, SJ|Cahoon, LB|Morton, S",ENVIRONMETRICS," Copyright (c) 2012 John Wiley & Sons, Ltd.",Ecological Risk-O-Meter: a risk assessor and manager software tool for better decision making in ecosystems,2012
271,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,2014
272,"Ruiz, LM|Rodelas, P|Perez, JI|Gomez, MA",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,Sensitivity analyses and simulations of a full-scale experimental membrane bioreactor system using the activated sludge model No. 3 (ASM3),2015
273,"Martinez, FC|Cansino, AT|Garcia, MAA|Kalashnikov, V|Rojas, RL",MATHEMATICAL PROBLEMS IN ENGINEERING,,Mathematical Analysis for the Optimization of a Design in a Facultative Pond: Indicator Organism and Organic Matter,2014
