AU,year,title,journal,citations,DOI link
"Bennett, ND | Croke, BFW | Guariso, G | Guillaume, JHA | Hamilton, SH | Jakeman, AJ | Marsili-Libelli, S | Newham, LTH | Norton, JP | Perrin, C | Pierce, SA | Robson, B | Seppelt, R | Voinov, AA | Fath, BD | Andreassian, V",2013,Characterising performance of environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,595,https://dx.doi.org/10.1016/j.envsoft.2012.09.011
"Campolongo, F | Cariboni, J | Saltelli, A",2007,An effective screening design for sensitivity analysis of large models,ENVIRONMENTAL MODELLING & SOFTWARE,589,https://dx.doi.org/10.1016/j.envsoft.2006.10.004
"Abbaspour, KC | Yang, J | Maximov, I | Siber, R | Bogner, K | Mieleitner, J | Zobrist, J | Srinivasan, R",2007,Modelling hydrology and water quality in the pre-alpine/alpine Thur watershed using SWAT,JOURNAL OF HYDROLOGY,575,https://dx.doi.org/10.1016/j.jhydrol.2006.09.014
"van Griensven, A | Meixner, T | Grunwald, S | Bishop, T | Diluzio, A | Srinivasan, R",2006,A global sensitivity analysis tool for the parameters of multi-variable catchment models,JOURNAL OF HYDROLOGY,562,https://dx.doi.org/10.1016/j.jhydrol.2005.09.008
"Refsgaard, JC | van der Sluijs, JP | Hojberg, AL | Vanrolleghem, PA",2007,Uncertainty in the environmental modelling process - A framework and guidance,ENVIRONMENTAL MODELLING & SOFTWARE,517,https://dx.doi.org/10.1016/j.envsoft.2007.02.004
"Merritt, WS | Letcher, RA | Jakeman, AJ",2003,A review of erosion and sediment transport models,ENVIRONMENTAL MODELLING & SOFTWARE,416,https://dx.doi.org/10.1016/S1364-8152(03)00078-1
"Sigmund, O | Maute, K",2013,Topology optimization approaches A comparative review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,405,https://dx.doi.org/10.1007/s00158-013-0978-6
"Saltelli, A | Annoni, P",2010,How to avoid a perfunctory sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,360,https://dx.doi.org/10.1016/j.envsoft.2010.04.012
"Oudin, L | Hervieu, F | Michel, C | Perrin, C | Andreassian, V | Anctil, F | Loumagne, C",2005,Which potential evapotranspiration input for a lumped rainfall-runoff model? Part 2 - Towards a simple and efficient potential evapotranspiration model for rainfall-runoff modelling,JOURNAL OF HYDROLOGY,331,https://dx.doi.org/10.1016/j.jhydrol.2004.08.026
"Yang, J | Reichert, P | Abbaspour, KC | Xia, J | Yang, H",2008,Comparing uncertainty analysis techniques for a SWAT application to the Chaohe Basin in China,JOURNAL OF HYDROLOGY,316,https://dx.doi.org/10.1016/j.jhydrol.2008.05.012
"Xu, CY | Gong, LB | Jiang, T | Chen, DL | Singh, VP",2006,Analysis of spatial distribution and temporal trend of reference evapotranspiration and pan evaporation in Changjiang (Yangtze River) catchment,JOURNAL OF HYDROLOGY,308,https://dx.doi.org/10.1016/j.jhydrol.2005.11.029
"Duan, Q | Schaake, J | Andreassian, V | Franks, S | Goteti, G | Gupta, HV | Gusev, YM | Habets, F | Hall, A | Hay, L | Hogue, T | Huang, M | Leavesley, G | Liang, X | Nasonova, ON | Noilhan, J | Oudin, L | Sorooshian, S | Wagener, T | Wood, EF",2006,Model Parameter Estimation Experiment (MOPEX): An overview of science strategy and major results from the second and third workshops,JOURNAL OF HYDROLOGY,293,https://dx.doi.org/10.1016/j.jhydrol.2005.07.031
"Kirchner, JW",2009,"Catchments as simple dynamical systems: Catchment characterization, rainfall-runoff modeling, and doing hydrology backward",WATER RESOURCES RESEARCH,287,https://dx.doi.org/10.1029/2008WR006912
"Brun, R | Reichert, P | Kunsch, HR",2001,Practical identifiability analysis of large environmental simulation models,WATER RESOURCES RESEARCH,284,https://dx.doi.org/10.1029/2000WR900350
"Muleta, MK | Nicklow, JW",2005,Sensitivity and uncertainty analysis coupled with automatic calibration for a distributed watershed model,JOURNAL OF HYDROLOGY,260,https://dx.doi.org/10.1016/j.jhydrol.2004.09.005
"Pappenberger, F | Beven, KJ",2006,Ignorance is bliss: Or seven reasons not to use uncertainty analysis,WATER RESOURCES RESEARCH,245,https://dx.doi.org/10.1029/2005WR004820
"Thiemann, M | Trosset, M | Gupta, H | Sorooshian, S",2001,Bayesian recursive parameter estimation for hydrologic models,WATER RESOURCES RESEARCH,241,https://dx.doi.org/10.1029/2000WR900405
"Moens, D | Vandepitte, D",2005,A survey of non-probabilistic uncertainty treatment in finite element analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,238,https://dx.doi.org/10.1016/j.cma.2004.03.019
"Jakeman, AJ | Letcher, RA",2003,"Integrated assessment and modelling: features, principles and examples for catchment management",ENVIRONMENTAL MODELLING & SOFTWARE,235,https://dx.doi.org/10.1016/S1364-8152(03)00024-0
"Schoups, G | Vrugt, JA",2010,"A formal likelihood function for parameter and predictive inference of hydrologic models with correlated, heteroscedastic, and non-Gaussian errors",WATER RESOURCES RESEARCH,228,https://dx.doi.org/10.1029/2009WR008933
"Legesse, D | Vallet-Coulomb, C | Gasse, F",2003,Hydrological response of a catchment to climate and land use changes in Tropical Africa: case study South Central Ethiopia,JOURNAL OF HYDROLOGY,218,https://dx.doi.org/10.1016/S0022-1694(03)00019-2
"Schueller, GI | Jensen, HA",2008,Computational methods in optimization considering uncertainties - An overview,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,218,https://dx.doi.org/10.1016/j.cma.2008.05.004
"Tripathi, S | Srinivas, VV | Nanjundiah, RS",2006,Dowinscaling of precipitation for climate change scenarios: A support vector machine approach,JOURNAL OF HYDROLOGY,217,https://dx.doi.org/10.1016/j.jhydrot.2006.04.030
"Abbaspour, KC | Rouholahnejad, E | Vaghefi, S | Srinivasan, R | Yang, H | Klove, B",2015,A continental-scale hydrology and water quality model for Europe: Calibration and uncertainty of a high-resolution large-scale SWAT model,JOURNAL OF HYDROLOGY,212,https://dx.doi.org/10.1016/j.jhydrol.2015.03.027
"van Dijk, NP | Maute, K | Langelaar, M | van Keulen, F",2013,Level-set methods for structural topology optimization: a review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,207,https://dx.doi.org/10.1007/s00158-013-0912-y
"McVicar, TR | Van Niel, TG | Li, LT | Hutchinson, MF | Mu, XM | Liu, ZH",2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,JOURNAL OF HYDROLOGY,205,https://dx.doi.org/10.1016/j.jhydrol.2007.02.018
"Yu, PS | Chen, ST | Chang, IF",2006,Support vector regression for real-time flood stage forecasting,JOURNAL OF HYDROLOGY,201,https://dx.doi.org/10.1016/j.jhydrol.2006.01.021
"Pappenberger, F | Beven, K | Horritt, M | Blazkova, S",2005,Uncertainty in the calibration of effective roughness parameters in HEC-RAS using inundation and downstream level observations,JOURNAL OF HYDROLOGY,201,https://dx.doi.org/10.1016/j.jhydrol.2004.06.036
"Gong, LB | Xu, CY | Chen, DL | Halldin, S | Chen, YQD",2006,Sensitivity of the Penman-Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,JOURNAL OF HYDROLOGY,200,https://dx.doi.org/10.1016/j.jhydrol.2006.03.027
"Yamada, T | Izui, K | Nishiwaki, S | Takezawa, A",2010,A topology optimization method based on the level set method incorporating a fictitious interface energy,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,199,https://dx.doi.org/10.1016/j.cma.2010.05.013
"Pollino, CA | Woodberry, O | Nicholson, A | Korb, K | Hart, BT",2007,Parameterisation and evaluation of a Bayesian network for use in an ecological risk assessment,ENVIRONMENTAL MODELLING & SOFTWARE,196,https://dx.doi.org/10.1016/j.envsoft.2006.03.006
"Shan, SQ | Wang, GG",2010,Survey of modeling and optimization strategies to solve high-dimensional design problems with computationally-expensive black-box functions,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,194,https://dx.doi.org/10.1007/s00158-009-0420-2
"Minville, M | Brissette, F | Leconte, R",2008,Uncertainty of the impact of climate change on the hydrology of a nordic watershed,JOURNAL OF HYDROLOGY,189,https://dx.doi.org/10.1016/j.jhydrol.2008.05.033
"Kuczera, G | Kavetski, D | Franks, S | Thyer, M",2006,Towards a Bayesian total error analysis of conceptual rainfall-runoff models: Characterising model error using storm-dependent parameters,JOURNAL OF HYDROLOGY,183,https://dx.doi.org/10.1016/j.jhydrol.2006.05.010
"Babuska, I | Tempone, R | Zouraris, GE",2005,Solving elliptic boundary value problems with uncertain coefficients by the finite element method: the stochastic formulation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,181,https://dx.doi.org/10.1016/j.cma.2004.02.026
"Castillo, VM | Gomez-Plaza, A | Martinez-Mena, M",2003,The role of antecedent soil water content in the runoff response of semiarid catchments: a simulation approach,JOURNAL OF HYDROLOGY,177,https://dx.doi.org/10.1016/S0022-1694(03)00264-6
"Zoppou, C",2001,Review of urban storm water models,ENVIRONMENTAL MODELLING & SOFTWARE,171,https://dx.doi.org/10.1016/S1364-8152(00)00084-0
"Roy, CJ | Oberkampf, WL",2011,"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,171,https://dx.doi.org/10.1016/j.cma.2011.03.016
"Chen, Y | Yu, J | Khan, S",2010,Spatial sensitivity analysis of multi-criteria weights in GIS-based land suitability evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,170,https://dx.doi.org/10.1016/j.envsoft.2010.06.001
"Andreassian, V | Perrin, C | Michel, C | Usart-Sanchez, I | Lavabre, J",2001,Impact of imperfect rainfall knowledge on the efficiency and the parameters of watershed models,JOURNAL OF HYDROLOGY,169,https://dx.doi.org/10.1016/S0022-1694(01)00437-1
"Novotny, AA | Feijoo, RA | Taroco, E | Padra, C",2003,Topological sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,167,https://dx.doi.org/10.1016/S0045-7825(02)00599-6
"Chen, H | Guo, SL | Xu, CY | Singh, VP",2007,Historical temporal trends of hydro-climatic variables and runoff response to climate variability and their relevance in water resource management in the Hanjiang basin,JOURNAL OF HYDROLOGY,162,https://dx.doi.org/10.1016/j.jhydrol.2007.06.034
"Khan, MS | Coulibaly, P | Dibike, Y",2006,Uncertainty analysis of statistical downscaling methods,JOURNAL OF HYDROLOGY,159,https://dx.doi.org/10.1016/j.jhydrol.2005.06.035
"Kharmanda, G | Olhoff, N | Mohamed, A | Lemaire, M",2004,Reliability-based topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,154,https://dx.doi.org/10.1007/s00158-003-0322-7
"Doltsinis, I | Kang, Z",2004,Robust design of structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,153,https://dx.doi.org/10.1016/j.cma.2003.12.055
"Nossent, J | Elsen, P | Bauwens, W",2011,Sobol' sensitivity analysis of a complex environmental model,ENVIRONMENTAL MODELLING & SOFTWARE,152,https://dx.doi.org/10.1016/j.envsoft.2011.08.010
"Yoon, H | Jun, SC | Hyun, Y | Bae, GO | Lee, KK",2011,A comparative study of artificial neural networks and support vector machines for predicting groundwater levels in a coastal aquifer,JOURNAL OF HYDROLOGY,151,https://dx.doi.org/10.1016/j.jhydrol.2010.11.002
"Bjerklie, DM | Dingman, SL | Vorosmarty, CJ | Bolster, CH | Congalton, RG",2003,Evaluating the potential for measuring river discharge from space,JOURNAL OF HYDROLOGY,144,https://dx.doi.org/10.1016/S0022-1694(03)00129-X
"Al-Raoush, RI | Willson, CS",2005,Extraction of physically realistic pore network properties from three-dimensional synchrotron X-ray microtomography images of unconsolidated porous media systems,JOURNAL OF HYDROLOGY,144,https://dx.doi.org/10.1016/j.jhydrol.2004.05.005
"Lindgren, LE",2006,Numerical modelling of welding,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,142,https://dx.doi.org/10.1016/j.cma.2005.08.018
"Immerzeel, WW | Droogers, P",2008,Calibration of a distributed hydrological model based on satellite evapotranspiration,JOURNAL OF HYDROLOGY,141,https://dx.doi.org/10.1016/j.jhydrol.2007.11.017
"Mignot, E | Paquier, A | Haider, S",2006,Modeling floods in a dense urban area using 2D shallow water equations,JOURNAL OF HYDROLOGY,140,https://dx.doi.org/10.1016/j.jhydrol.2005.11.026
"Pianosi, F | Beven, K | Freer, J | Hall, JW | Rougier, J | Stephenson, DB | Wagener, T",2016,Sensitivity analysis of environmental models: A systematic review with practical workflow,ENVIRONMENTAL MODELLING & SOFTWARE,138,https://dx.doi.org/10.1016/j.envsoft.2016.02.008
"Stedinger, JR | Vogel, RM | Lee, SU | Batchelder, R",2008,Appraisal of the generalized likelihood uncertainty estimation (GLUE) method,WATER RESOURCES RESEARCH,138,https://dx.doi.org/10.1029/2008WR006822
"Gersborg-Hansen, A | Sigmund, O | Haber, RB",2005,Topology optimization of channel flow problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,137,https://dx.doi.org/10.1007/s00158-004-0508-7
"Schuol, J | Abbaspour, KC | Srinivasan, R | Yang, H",2008,Estimation of freshwater availability in the West African sub-continent using the SWAT hydrologic model,JOURNAL OF HYDROLOGY,136,https://dx.doi.org/10.1016/j.jhydrol.2007.12.025
"Gottschalk, F | Scholz, RW | Nowack, B",2010,Probabilistic material flow modeling for assessing the environmental exposure to compounds: Methodology and an application to engineered nano-TiO2 particles,ENVIRONMENTAL MODELLING & SOFTWARE,135,https://dx.doi.org/10.1016/j.envsoft.2009.08.011
"Yang, J | Reichert, P | Abbaspour, KC | Yang, H",2007,Hydrological modelling of the chaohe basin in china: Statistical model formulation and Bayesian inference,JOURNAL OF HYDROLOGY,133,https://dx.doi.org/10.1016/j.jhydrol.2007.04.006
"Vrugt, JA | Robinson, BA",2007,Treatment of uncertainty using ensemble methods: Comparison of sequential data assimilation and Bayesian model averaging,WATER RESOURCES RESEARCH,131,https://dx.doi.org/10.1029/2005WR004838
"Filatova, T | Verburg, PH | Parker, DC | Stannard, CA",2013,Spatial agent-based models for socio-ecological systems: Challenges and prospects,ENVIRONMENTAL MODELLING & SOFTWARE,131,https://dx.doi.org/10.1016/j.envsoft.2013.03.017
"Li, H | Zhang, DX",2007,Probabilistic collocation method for flow in porous media: Comparisons with other stochastic methods,WATER RESOURCES RESEARCH,131,https://dx.doi.org/10.1029/2006WR005673
"Weiler, M | McGlynn, BL | McGuire, KJ | McDonnell, JJ",2003,How does rainfall become runoff? A combined tracer and runoff transfer function approach,WATER RESOURCES RESEARCH,130,https://dx.doi.org/10.1029/2003WR002331
"van Keulen, F | Haftka, RT | Kim, NH",2005,Review of options for structural design sensitivity analysis. Part 1: Linear systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,129,https://dx.doi.org/10.1016/j.cma.2005.02.002
"van Vliet, MTH | Ludwig, F | Zwolsman, JJG | Weedon, GP | Kabat, P",2011,Global river temperatures and sensitivity to atmospheric warming and changes in river flow,WATER RESOURCES RESEARCH,128,https://dx.doi.org/10.1029/2010WR009198
"Uusitalo, L | Lehikoinen, A | Helle, I | Myrberg, K",2015,An overview of methods to evaluate uncertainty of deterministic models in decision support,ENVIRONMENTAL MODELLING & SOFTWARE,125,https://dx.doi.org/10.1016/j.envsoft.2014.09.017
"Kasprzyk, JR | Nataraj, S | Reed, PM | Lempert, RJ",2013,Many objective robust decision making for complex environmental systems undergoing change,ENVIRONMENTAL MODELLING & SOFTWARE,124,https://dx.doi.org/10.1016/j.envsoft.2012.12.007
"Gersborg-Hansen, A | Bendsoe, MP | Sigmund, O",2006,Topology optimization of heat conduction problems using the finite volume method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,122,https://dx.doi.org/10.1007/s00158-005-0584-3
"Gallagher, M | Doherty, J",2007,Parameter estimation and uncertainty analysis for a watershed model,ENVIRONMENTAL MODELLING & SOFTWARE,121,https://dx.doi.org/10.1016/j.envsoft.2006.06.007
"Ziehn, T | Tomlin, AS",2009,GUI-HDMR - A software tool for global sensitivity analysis of complex models,ENVIRONMENTAL MODELLING & SOFTWARE,121,https://dx.doi.org/10.1016/j.envsoft.2008.12.002
"Marshall, L | Nott, D | Sharma, A",2004,A comparative study of Markov chain Monte Carlo methods for conceptual rainfall-runoff modeling,WATER RESOURCES RESEARCH,121,https://dx.doi.org/10.1029/2003WR002378
"Yang, J",2011,Convergence and uncertainty analyses in Monte-Carlo based sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,121,https://dx.doi.org/10.1016/j.envsoft.2010.10.007
"Matott, LS | Babendreier, JE | Purucker, ST",2009,Evaluating uncertainty in integrated environmental models: A review of concepts and tools,WATER RESOURCES RESEARCH,119,https://dx.doi.org/10.1029/2008WR007301
"Herrera, M | Torgo, L | Izquierdo, J | Perez-Garcia, R",2010,Predictive models for forecasting hourly urban water demand,JOURNAL OF HYDROLOGY,119,https://dx.doi.org/10.1016/j.jhydrol.2010.04.005
"Fenicia, F | Savenije, HHG | Matgen, P | Pfister, L",2008,Understanding catchment behavior through stepwise model concept improvement,WATER RESOURCES RESEARCH,118,https://dx.doi.org/10.1029/2006WR005563
"Kim, S | Kim, HS",2008,Neural networks and genetic algorithm approach for nonlinear evaporation and evapotranspiration modeling,JOURNAL OF HYDROLOGY,117,https://dx.doi.org/10.1016/j.jhydrol.2007.12.014
"Jasper, K | Gurtz, J | Herbert, L",2002,Advanced flood forecasting in Alpine watersheds by coupling meteorological observations and forecasts with a distributed hydrological model,JOURNAL OF HYDROLOGY,117,https://dx.doi.org/10.1016/S0022-1694(02)00138-5
"Schmidt, C | Conant, B | Bayer-Raich, M | Schirmer, M",2007,Evaluation and field-scale application of an analytical method to quantify groundwater discharge using mapped streambed temperatures,JOURNAL OF HYDROLOGY,115,https://dx.doi.org/10.1016/j.jhydrol.2007.08.022
"Luo, YJ | Kang, Z | Luo, Z | Li, A",2009,Continuum topology optimization with non-probabilistic reliability constraints based on multi-ellipsoid convex model,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,115,https://dx.doi.org/10.1007/s00158-008-0329-1
"Zhang, XS | Srinivasan, R | Bosch, D",2009,Calibration and uncertainty analysis of the SWAT model using Genetic Algorithms and Bayesian Model Averaging,JOURNAL OF HYDROLOGY,113,https://dx.doi.org/10.1016/j.jhydrol.2009.06.023
"Dubourg, V | Sudret, B | Bourinet, JM",2011,Reliability-based design optimization using kriging surrogates and subset simulation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,111,https://dx.doi.org/10.1007/s00158-011-0653-8
"Arabi, M | Govindaraju, RS | Hantush, MM",2007,A probabilistic approach for analysis of uncertainty in the evaluation of watershed management practices,JOURNAL OF HYDROLOGY,110,https://dx.doi.org/10.1016/j.jhydrol.2006.09.012
"Oh, HJ | Kim, YS | Choi, JK | Park, E | Lee, S",2011,"GIS mapping of regional probabilistic groundwater potential in the area of Pohang City, Korea",JOURNAL OF HYDROLOGY,109,https://dx.doi.org/10.1016/j.jhydrol.2010.12.027
"Blasone, RS | Madsen, H | Rosbjerg, D",2008,Uncertainty assessment of integrated distributed hydrological models using GLUE with Markov chain Monte Carlo sampling,JOURNAL OF HYDROLOGY,108,https://dx.doi.org/10.1016/j.jhydrol.2007.12.026
"Oudin, L | Perrin, C | Mathevet, T | Andreassian, V | Michel, C",2006,Impact of biased and randomly corrupted inputs on the efficiency and the parameters of watershed models,JOURNAL OF HYDROLOGY,108,https://dx.doi.org/10.1016/j.jhydrol.2005.07.016
"van Werkhoven, K | Wagener, T | Reed, P | Tang, Y",2008,Characterization of watershed model behavior across a hydroclimatic gradient,WATER RESOURCES RESEARCH,106,https://dx.doi.org/10.1029/2007WR006271
"Allaire, G | Jouve, F",2005,A level-set method for vibration and multiple loads structural optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,106,https://dx.doi.org/10.1016/j.cma.2004.12.018
"Lee, JG | Selvakumar, A | Alvi, K | Riverson, J | Zhen, JX | Shoemaker, L | Lai, FH",2012,A watershed-scale design optimization model for stormwater best management practices,ENVIRONMENTAL MODELLING & SOFTWARE,105,https://dx.doi.org/10.1016/j.envsoft.2012.04.011
"Gunawan, S | Azarm, S",2005,Multi-objective robust optimization using a sensitivity region concept,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,104,https://dx.doi.org/10.1007/s00158-004-0450-8
"Hong, Y | Hsu, KL | Moradkhani, H | Sorooshian, S",2006,Uncertainty quantification of satellite precipitation estimation and Monte Carlo assessment of the error propagation into hydrologic response,WATER RESOURCES RESEARCH,102,https://dx.doi.org/10.1029/2005WR004398
"Du, JK | Qian, L | Rui, HY | Zuo, TH | Zheng, DP | Xu, YP | Xu, CY",2012,"Assessing the effects of urbanization on annual runoff and flood events using an integrated hydrological modeling system for Qinhuai River basin, China",JOURNAL OF HYDROLOGY,100,https://dx.doi.org/10.1016/j.jhydrol.2012.06.057
"Dixon, B",2005,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis,JOURNAL OF HYDROLOGY,100,https://dx.doi.org/10.1016/j.jhydrol.2004.11.010
"Green, CH | van Griensven, A",2008,Autocalibration in hydrologic modeling: Using SWAT2005 in small-scale watersheds,ENVIRONMENTAL MODELLING & SOFTWARE,100,https://dx.doi.org/10.1016/j.envsoft.2007.06.002
"Liu, YB | Gebremeskel, S | De Smedt, F | Hoffmann, L | Pfister, L",2003,A diffusive transport approach for flow routing in GIS-based flood modelling,JOURNAL OF HYDROLOGY,99,https://dx.doi.org/10.1016/S0022-1694(03)00242-7
"Pianosi, F | Sarrazin, F | Wagener, T",2015,A Matlab toolbox for Global Sensitivity Analysis,ENVIRONMENTAL MODELLING & SOFTWARE,98,https://dx.doi.org/10.1016/j.envsoft.2015.04.009
"Choi, HT | Beven, K",2007,Multi-period and multi-criteria model conditioning to reduce prediction uncertainty in an application of TOPMODEL within the GLUE framework,JOURNAL OF HYDROLOGY,97,https://dx.doi.org/10.1016/j.jhydrol.2006.07.012
"Doostan, A | Ghanem, RG | Red-Horse, J",2007,Stochastic model reduction for chaos representations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,97,https://dx.doi.org/10.1016/j.cma.2006.10.047
"Vesselinov, VV | Neuman, SP | Illman, WA",2001,"Three-dimensional numerical inversion of pneumatic cross-hole tests in unsaturated fractured tuff 2. Equivalent parameters, high-resolution stochastic imaging and scale effects",WATER RESOURCES RESEARCH,96,https://dx.doi.org/10.1029/2000WR000135
"Sieber, A | Uhlenbrook, S",2005,Sensitivity analyses of a distributed catchment model to verify the model structure,JOURNAL OF HYDROLOGY,95,https://dx.doi.org/10.1016/j.jhydrol.2005.01.004
"Landuyt, D | Broekx, S | D'hondt, R | Engelen, G | Aertsens, J | Goethals, PLM",2013,A review of Bayesian belief networks in ecosystem service modelling,ENVIRONMENTAL MODELLING & SOFTWARE,95,https://dx.doi.org/10.1016/j.envsoft.2013.03.011
"Futter, MN | Butterfield, D | Cosby, BJ | Dillon, PJ | Wade, AJ | Whitehead, PG",2007,Modeling the mechanisms that control in-stream dissolved organic carbon dynamics in upland and forested catchments,WATER RESOURCES RESEARCH,95,https://dx.doi.org/10.1029/2006WR004960
"Kang, Z | Luo, YJ",2009,Non-probabilistic reliability-based topology optimization of geometrically nonlinear structures using convex models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,94,https://dx.doi.org/10.1016/j.cma.2009.06.001
"Kannan, N | White, SM | Worrall, F | Whelan, MJ",2007,Sensitivity analysis and identification of the best evapotranspiration and runoff options for hydrological modelling in SWAT-2000,JOURNAL OF HYDROLOGY,94,https://dx.doi.org/10.1016/j.jhydrol.2006.08.001
"Kang, BS | Park, GJ | Arora, JS",2006,A review of optimization of structures subjected to transient loads,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,94,https://dx.doi.org/10.1007/s00158-005-0575-4
"Eckhardt, K | Breuer, L | Frede, HG",2003,Parameter uncertainty and the significance of simulated land use change effects,JOURNAL OF HYDROLOGY,92,https://dx.doi.org/10.1016/S0022-1694(02)00395-5
"Lee, SH | Chen, W",2009,A comparative study of uncertainty propagation methods for black-box-type problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,91,https://dx.doi.org/10.1007/s00158-008-0234-7
"Maute, K | Allen, M",2004,Conceptual design of aeroelastic structures by topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,91,https://dx.doi.org/10.1007/s00158-003-0362-z
"Vrugt, JA | Bouten, W | Gupta, HV | Sorooshian, S",2002,Toward improved identifiability of hydrologic model parameters: The information content of experimental data,WATER RESOURCES RESEARCH,91,https://dx.doi.org/10.1029/2001WR001118
"Liu, JG",2009,A GIS-based tool for modelling large-scale crop-water relations,ENVIRONMENTAL MODELLING & SOFTWARE,91,https://dx.doi.org/10.1016/j.envsoft.2008.08.004
"Neupauer, RM | Wilson, JL",2001,Adjoint-derived location and travel time probabilities for a multidimensional groundwater system,WATER RESOURCES RESEARCH,90,https://dx.doi.org/10.1029/2000WR900388
"Zou, T | Mahadevan, S",2006,A direct decoupling approach for efficient reliability-based design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,89,https://dx.doi.org/10.1007/s00158-005-0572-7
"Trolle, D | Hamilton, DP | Pilditch, CA | Duggan, IC | Jeppesen, E",2011,Predicting the effects of climate change on trophic status of three morphologically varying lakes: Implications for lake restoration and management,ENVIRONMENTAL MODELLING & SOFTWARE,89,https://dx.doi.org/10.1016/j.envsoft.2010.08.009
"Cho, S | Ha, SH",2009,Isogeometric shape design optimization: exact geometry and enhanced sensitivity,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,88,https://dx.doi.org/10.1007/s00158-008-0266-z
"Oudin, L | Andreassian, V | Lerat, J | Michel, C",2008,Has land cover a significant impact on mean annual streamflow? An international assessment using 1508 catchments,JOURNAL OF HYDROLOGY,88,https://dx.doi.org/10.1016/j.jhydrol.2008.05.021
"Espinosa, HD | Dwivedi, S | Lu, HC",2000,Modeling impact induced delamination of woven fiber reinforced composites with contact/cohesive laws,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,88,https://dx.doi.org/10.1016/S0045-7825(99)00222-4
"Youn, BD | Choi, KK | Du, L",2005,Adaptive probability analysis using an enhanced hybrid mean value method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,88,https://dx.doi.org/10.1007/s00158-004-0452-6
"Georgakakos, KP",2006,Analytical results for operational flash flood guidance,JOURNAL OF HYDROLOGY,88,https://dx.doi.org/10.1016/j.jhydrol.2005.05.009
"Dai, ZX | Samper, J",2004,Inverse problem of multicomponent reactive chemical transport in porous media: Formulation and applications,WATER RESOURCES RESEARCH,87,https://dx.doi.org/10.1029/2004WR003248
"Wagener, T | Kollat, J",2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,ENVIRONMENTAL MODELLING & SOFTWARE,87,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
"van Delden, H | Seppelt, R | White, R | Jakeman, AJ",2011,A methodology for the design and development of integrated models for policy support,ENVIRONMENTAL MODELLING & SOFTWARE,86,https://dx.doi.org/10.1016/j.envsoft.2010.03.021
"Song, XM | Zhang, JY | Zhan, CS | Xuan, YQ | Ye, M | Xu, CG",2015,"Global sensitivity analysis in hydrological modeling: Review of concepts, methods, theoretical framework, and applications",JOURNAL OF HYDROLOGY,85,https://dx.doi.org/10.1016/j.jhydrol.2015.02.013
"Senarath, SUS | Ogden, FL | Downer, CW | Sharif, HO",2000,"On the calibration and verification of two-dimensional, distributed, Hortonian, continuous watershed models",WATER RESOURCES RESEARCH,85,https://dx.doi.org/10.1029/2000WR900039
"Deletic, A",2001,Modelling of water and sediment transport over grassed areas,JOURNAL OF HYDROLOGY,84,https://dx.doi.org/10.1016/S0022-1694(01)00403-6
