AU,year,title,journal,citations,DOI link
"Karathanasopoulos, N | Angelikopoulos, P | Papadimitriou, C | Koumoutsakos, P",2017,Bayesian identification of the tendon fascicle's structural composition using finite element models for helical geometries,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4,https://dx.doi.org/10.1016/j.cma.2016.10.024
"Liu, JK | Cheng, L | To, AC",2017,Arbitrary void feature control in level set topology optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4,https://dx.doi.org/10.1016/j.cma.2017.06.021
"Sharples, JJ | Pezzey, JCV",2007,Expectations of linear functions with respect to truncated multinormal distributions - With applications for uncertainty analysis in environmental modelling,ENVIRONMENTAL MODELLING & SOFTWARE,4,https://dx.doi.org/10.1016/j.envsoft.2006.05.021
"Choi, MJ | Yoon, M | Cho, S",2016,Isogeometric configuration design sensitivity analysis of finite deformation curved beam structures using Jaumann strain formulation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4,https://dx.doi.org/10.1016/j.cma.2016.05.040
"Kauker, F | Kaminski, T | Karcher, M | Dowdall, M | Brown, J | Hosseini, A | Strand, P",2016,Model analysis of worst place scenarios for nuclear accidents in the northern marine environment,ENVIRONMENTAL MODELLING & SOFTWARE,4,https://dx.doi.org/10.1016/j.envsoft.2015.11.021
"Barca, E | Porcu, E | Bruno, D | Passarella, G",2017,An automated decision support system for aided assessment of variogram models,ENVIRONMENTAL MODELLING & SOFTWARE,4,https://dx.doi.org/10.1016/j.envsoft.2016.11.004
"Douinot, A | Roux, H | Dartus, D",2017,Modelling errors calculation adapted to rainfall - Runoff model user expectations and discharge data uncertainties,ENVIRONMENTAL MODELLING & SOFTWARE,4,https://dx.doi.org/10.1016/j.envsoft.2017.01.007
"Sexton, J | Everingham, Y | Inman-Bamber, G",2016,A theoretical and real world evaluation of two Bayesian techniques for the calibration of variety parameters in a sugarcane crop model,ENVIRONMENTAL MODELLING & SOFTWARE,4,https://dx.doi.org/10.1016/j.envsoft.2016.05.014
"Quan, G | Conte, JP | Elgamal, A | Yang, ZH",2009,Finite element response sensitivity analysis of multi-yield-surface J(2) plasticity model by direct differentiation method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4,https://dx.doi.org/10.1016/j.cma.2009.02.030
"Wang, H | Ren, YQ | Jia, JH | Celia, MA",2015,A probabilistic collocation Eulerian-Lagrangian localized adjoint method on sparse grids for assessing CO2 leakage through wells in randomly heterogeneous porous media,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2014.11.034
"Bansal, S | Cheung, SH",2017,A new stochastic simulation algorithm for updating robust reliability of linear structural dynamic systems subjected to future Gaussian excitations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2017.07.032
"Mohammadi, B",2014,Uncertainty quantification by geometric characterization of sensitivity spaces,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2014.07.021
"Thiagarajan, V | Shapiro, V",2016,Adaptively Weighted Numerical Integration in the Finite Cell Method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2016.08.021
"Dunning, PD",2017,Design parameterization for topology optimization by intersection of an implicit function,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2017.01.008
"Pettersson, P | Tchelepi, HA",2016,Stochastic Galerkin framework with locally reduced bases for nonlinear two-phase transport in heterogeneous formations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2016.07.013
"Stupkiewicz, S",2001,Approximate response sensitivities for nonlinear problems in explicit dynamic formulation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s001580100105
"Babuska, I | Tempone, R",2008,Static frame challenge problem: Summary,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2007.09.030
"Shin, M | Tortorelli, DA | Norato, JA",2015,Optimal shape design of axisymmetric structures subject to asymmetric loading,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2015.05.008
"Tan, MHY | Geubelle, PH",2017,3D dimensionally reduced modeling and gradient-based optimization of microchannel cooling networks,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2017.05.024
"Munk, DJ | Vio, GA | Steven, GP",2017,A simple alternative formulation for structural optimisation with dynamic and buckling objectives,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-016-1544-9
"Xiao, H | Wang, JX | Ghanem, RG",2017,A random matrix approach for quantifying model-form uncertainties in turbulence modeling,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2016.10.025
"Saliba, R | Padra, C | Venere, MJ | Taroco, E | Feijoo, RA",2005,Adaptivity in linear elastic fracture mechanics based on shape sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2004.06.046
"Aguilar, C | Polo, MJ",2016,Assessing minimum environmental flows in nonpermanent rivers: The choice of thresholds,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.02.003
"Gong, W | Duan, QY",2017,An adaptive surrogate modeling-based sampling strategy for parameter optimization and distribution estimation (ASMO-PODE),ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2017.05.005
"Macpherson, AJ | Simon, H | Langdon, R | Misenheimer, D",2017,A mixed integer programming model for National Ambient Air Quality Standards (NAAQS) attainment strategy analysis,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2017.01.008
"Bugeda, G",2006,A new adaptive remeshing scheme based on the sensitivity analysis of the SPR point wise error estimation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,3,https://dx.doi.org/10.1016/j.cma.2004.10.015
"Cross, DM | Canfield, RA",2015,Local continuum shape sensitivity with spatial gradient reconstruction for nonlinear analysis,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-014-1178-8
"Charpentier, I",2000,The MesODiF package for gradient computations with the atmospheric model Meso-NH,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/S1364-8152(00)00050-5
"Szilagyi, J",2003,Sensitivity analysis of aquifer parameter estimations based on the Laplace equation with linearized boundary conditions,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1029/2002WR001564
"Cienciala, P | Hassan, MA",2016,Sampling variability in estimates of flow characteristics in coarse-bed channels: Effects of sample size,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2015WR017259
"Lu, ZM | Vesselinov, VV",2015,Analytical sensitivity analysis of transient groundwater flow in a bounded model domain using the adjoint method,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2014WR016819
"Mo, SX | Lu, D | Shi, XQ | Zhang, GN | Ye, M | Wu, JF | Wu, JC",2017,A Taylor Expansion-Based Adaptive Design Strategy for Global Surrogate Modeling With Applications in Groundwater Modeling,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2017WR021622
"Ford, WI | Fox, JF | Pollock, E",2017,Reducing equifinality using isotopes in a process-based stream nitrogen model highlights the flux of algal nitrogen from agricultural streams,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2017WR020607
"Burns, ER | Selker, JS | Parlange, JY | Guenther, RB",2006,Effects of sodium chloride on constitutive relations in variably saturated porous media,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1029/2005WR004060
"Grifoll, J",2013,Contribution of mechanical dispersion of vapor to soil evaporation,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/wrcr.20105
"Xu, TF | Valocchi, AJ | Ye, M | Liang, F | Lin, YF",2017,Bayesian calibration of groundwater models with input data uncertainty,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2016WR019512
