,AU,SO,copyright,title,year
0,"Constantine, PG|Zaharatos, B|Campanelli, M",STATISTICAL ANALYSIS AND DATA MINING,,Discovering an active subspace in a single-diode solar cell model,2015
1,"Jefferson, JL|Gilbert, JM|Constantine, PG|Maxwell, RM",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Reprint of: Active subspaces for sensitivity analysis and dimension reduction of an integrated hydrologic model,2016
2,"Constantine, PG|Doostan, A",STATISTICAL ANALYSIS AND DATA MINING,,Time-dependent global sensitivity analysis with active subspaces for a lithium ion battery model,2017
3,"Magri, L|Bauerheim, M|Nicoud, F|Juniper, MP",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Stability analysis of thermo-acoustic nonlinear eigenproblems in annular combustors. Part II. Uncertainty quantification,2016
4,"Constantine, PG|Emory, M|Larsson, J|Iaccarino, G",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,Exploiting active subspaces to quantify uncertainty in the numerical simulation of the HyShot II scramjet,2015
5,"Tripathy, R|Bilionis, I|Gonzalez, M",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Gaussian processes with built-in dimensionality reduction: Applications to high-dimensional uncertainty propagation,2016
6,"Stoyanov, M|Webster, CG",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,A GRADIENT-BASED SAMPLING APPROACH FOR DIMENSION REDUCTION OF PARTIAL DIFFERENTIAL EQUATIONS WITH STOCHASTIC COEFFICIENTS,2015
7,"Jefferson, JL|Gilbert, JM|Constantine, PG|Maxwell, RM",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Active subspaces for sensitivity analysis and dimension reduction of an integrated hydrologic model,2015
