,year,title,copyright,AU,SO,DOI link
20,2012,Effect of Temporal and Spatial Rainfall Resolution on HSPF Predictive Performance and Parameter Estimation, (C) 2012 American Society of Civil Engineers.,"Mohamoud, YM|Prieto, LM",JOURNAL OF HYDROLOGIC ENGINEERING,https://dx.doi.org/10.1061/(ASCE)HE.1943-5584.0000457
21,2015,Chaospy: An open source tool for designing methods of uncertainty quantification, Published by Elsevier B.V.,"Feinberg, J|Langtangen, HP",JOURNAL OF COMPUTATIONAL SCIENCE,https://dx.doi.org/10.1016/j.jocs.2015.08.008
22,2014,Numerical and intelligent modeling of triaxial strength of anisotropic jointed rock specimens,,"Asadi, M|Bagheripour, MH",EARTH SCIENCE INFORMATICS,https://dx.doi.org/10.1007/s12145-013-0137-z
23,2016,Towards uncertainty quantification and parameter estimation for Earth system models in a component-based modeling framework, Elsevier Ltd. All rights reserved.,"Peckham, SD|Kelbert, A|Hill, MC|Hutton, EWH",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2016.03.005
24,2007,The Data Uncertainty Engine (DUE): A software tool for assessing and simulating uncertain environmental variables, Elsevier Ltd. All rights reserved.,"Brown, JD|Heuvelink, GBM",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2006.06.015
25,2012,Comparison of different uncertainty techniques in urban stormwater quantity and quality modelling, Elsevier Ltd. All rights reserved.,"Dotto, CBS|Mannina, G|Kleidorfer, M|Vezzaro, L|Henrichs, M|McCarthy, DT|Freni, G|Rauch, W|Deletic, A",WATER RESEARCH,https://dx.doi.org/10.1016/j.watres.2012.02.009
26,2009,Probabilistic Assessment Study of Channels Downstream Slopes Erosion in the Maritime Environment,,"Khalifa, MA|El Ganainy, MA|Nasr, RI",JOURNAL OF COASTAL RESEARCH,https://dx.doi.org/10.2112/08-1074.1
27,2017,Infiltration under snow cover: Modeling approaches and predictive uncertainty, (C) 2017 Elsevier B.V. All rights reserved.,"Meeks, J|Moeck, C|Brunner, P|Hunkeler, D",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2016.12.042
28,2013,Stochastic approach to municipal solid waste landfill life based on the contaminant transit time modeling using the Monte Carlo (MC) simulation, (C) 2012 Elsevier B.V. All rights reserved.,"Bieda, B",SCIENCE OF THE TOTAL ENVIRONMENT,https://dx.doi.org/10.1016/j.scitotenv.2012.10.032
29,2016,Scalable subsurface inverse modeling of huge data sets with an application to tracer concentration breakthrough data from magnetic resonance imaging,,"Lee, JH|Yoon, HK|Kitanidis, PK|Werth, CJ|Valocchi, AJ",WATER RESOURCES RESEARCH,https://dx.doi.org/10.1002/2015WR018483
30,2008,Numerical simulation of 3D bubbles rising in viscous liquids using a front tracking method, (C) 2007 Elsevier Inc. All rights reserved.,"Hua, J|Stene, JF|Lin, P",JOURNAL OF COMPUTATIONAL PHYSICS,https://dx.doi.org/10.1016/j.jcp.2007.12.002
